category,text
FAKE,Spraying chlorine or alcohol on the skin kills viruses in the body
FAKE,Only older adults and young people are at risk
FAKE,Children cannot get COVID-19
FAKE,COVID-19 is just like the flu
FAKE,Everyone with COVID-19 dies
FAKE,Cats and dogs spread coronavirus
FAKE,Face masks always protect against coronavirus
FAKE,Hand dryers kill coronavirus
FAKE,SARS-CoV-2 is just a mutated form of the common cold
FAKE,You have to be with someone for 10 minutes to catch the virus
FAKE,Rinsing the nose with saline protects against coronavirus
FAKE,You can protect yourself by gargling bleach
FAKE,Antibiotics kill coronavirus
FAKE,Thermal scanners can diagnose coronavirus
FAKE,Garlic protects against coronaviruses
FAKE,Parcels from China can spread coronavirus
FAKE,Home remedies can cure and protect against COVID-19
FAKE,You can catch coronavirus from eating Chinese food in the US
FAKE,You can catch coronavirus from urine and feces
FAKE,The virus will die off when temperatures rise in the spring
FAKE,Coronavirus is the deadliest virus known to humans
FAKE,Flu and pneumonia vaccines can protect against COVID-19
FAKE,The virus originated in a laboratory in China
FAKE,The outbreak began because people ate bat soup
FAKE,5G helps SARS-CoV-2 spread
FAKE,Drinking alcohol reduces the risk of infection
FAKE,Injecting or consuming bleach or disinfectant kills the virus
