category,text
REAL,How large does a meeting or event need to be in order to be a mass gathering?
REAL,Does WHO recommend that all international mass gatherings be cancelled because of COVID-19?
REAL,What factors should organizers and health authorities look at when assessing whether the risks are acceptable or not?
REAL,What if my organization does not have the expertise to assess the risks COVID-19 poses for our planned mass gathering?
REAL,"If we go ahead with an international mass gathering, what can we do to reduce the risk of participants catching COVID-19?"
REAL,Where can I find more advice on assessing and managing health risks around international mass gatherings?
REAL,What should be the criteria for excluding an athlete or other accredited participant from competing?
REAL,Should event organizers arrange screening at venues beyond national government requirements for point of entry (PoE)?
REAL,Should event organizers provide COVID-19 testing?
REAL,Are there additional safeguards event organizers can implement or recommend to athletes/officials/visitors in the context of COVID-19?
REAL,What are the risks arising from public transport to the venue(s)?
REAL,What is a coronavirus?
REAL,What is COVID-19?
REAL,What are the symptoms of COVID-19?
REAL,How does COVID-19 spread?
REAL,Can the virus that causes COVID-19 be transmitted through the air?
REAL,Can CoVID-19 be caught from a person who has no symptoms?
REAL,Can I catch COVID-19 from the feces of someone with the disease?
REAL,What can I do to protect myself and prevent the spread of disease?
REAL,How likely am I to catch COVID-19?
REAL,Should I worry about COVID-19?
REAL,Who is at risk of developing severe illness?
REAL,Are antibiotics effective in preventing or treating the COVID-19?
REAL,Are there any medicines or therapies that can prevent or cure COVID-19?
REAL,"Is there a vaccine, drug or treatment for COVID-19?"
REAL,Is COVID-19 the same as SARS?
REAL,Should I wear a mask to protect myself?
REAL,"How to put on, use, take off and dispose of a mask?"
REAL,How long is the incubation period for COVID-19?
REAL,Can humans become infected with the COVID-19 from an animal source?
REAL,Can I catch COVID-19 from my pet?
REAL,How long does the virus survive on surfaces?
REAL,Is it safe to receive a package from any area where COVID-19 has been reported?
REAL,Is there anything I should not do?
REAL,Is the source of the coronavirus causing COVID-19 known?
REAL,How did the first human SARS-CoV-2 infections occur?
REAL,Can COVID-19 be spread through coins and banknotes?
REAL,How can I grocery shop safely in the time of COVID-19?
REAL,How to wash fruits and vegetables in the time of COVID-19?
REAL,Is COVID-19 airborne?
REAL,Is contraception/ family planning safe to use during the COVID-19 pandemic?
REAL,I want to avoid getting pregnant during the COVID-19 pandemic. What can I do?
REAL,I cant access my contraceptive method of choice. What do you advise?
REAL,What is the best contraceptive method to use during the COVID-19 pandemic?
REAL,I want to change my contraceptive method  is this possible?
REAL,I want to remove or replace my implant or IUD  can I do this during COVID-19 pandemic?
REAL,"Why is providing contraception/ family planning, as well as family planning services and information, important during the COVID-19 pandemic?"
REAL,I am a policy maker. What can I do to make sure people can access contraception and family planning information and services?
REAL,I am a programme manager. What can I do to help people access contraception and family planning information and services?
REAL,"How can you clean soiled bedding, towels and linens from patients with COVID-19?"
REAL,"What are the recommendation regarding disinfection of vehicles, goods and products coming from China or other COVID-19 affected countries?"
REAL,What personal protective equipment (PPE) should be used by healthcare workers (HCW) performing nasopharyngeal (NP) or oropharyngeal (OP) swabs on patients with suspected or confirmed COVID-19?
REAL,Should blood centers routinely screen blood products for COVID-19 virus?
REAL,"Are boots, impermeable aprons, or coverall suits required as routine personal protective equipment (PE) for healthcare workers (HCW) caring for patients with suspected or confirmed 2019-nCoV infection?"
REAL,Can disposable medical face masks be sterilized and reused?
REAL,Why does WHO recommend contact and droplet precautions and not routine use of airborne precautions for healthcare workers providing care to patients with suspected/confirmed 2019-nCoV infection?
REAL,Does WHO recommend routine wearing masks for healthy people during the 2019 nCoV outbreak?
REAL,Can patients with suspected and confirmed nCoV infection be cohorted in the same room?
REAL,Do patients with suspected or confirmed 2019-nCoV need to be hospitalized if they have mild illness?
REAL,Are specialized or referral hospitals required for patients with suspected or confirmed 2019-nCoV infection when hospitalization is needed?
