category,text
REAL,@UsForThemScotl1 @ChristineBrett8 @simondolan @BritainFree @Vicster82 @RealDeniseWelch @DrWaqarRashid1
REAL,@Unlocked_UK_ @Fox_Claire Child Abuse !
REAL,@charlotteren5 @Unlocked_UK_ When people get the answer they want  (dont think that will ever happen...)
REAL,@Unlocked_UK_ @Fox_Claire The question should not even be considered.
REAL,@Unlocked_UK_ @Fox_Claire Having had 3 daughters go through the education system I am so pleased that teachers have now stopped the spread of nits.
REAL,"@Unlocked_UK_ @SandraWors3 

Need to get on this YOUGOV poll ASAP..  29% NO.. was 72% this afternoon.. its been flipped.."
REAL,@Unlocked_UK_ @SCJohnston You know its coming when STV pretends they just had a little story- meanwhile Nicola ready to spring out with the new rule.
REAL,"@Unlocked_UK_ @Fox_Claire Yes, because it will give us useful data here in the u.k. To help get our kids back into school"
REAL,"@Unlocked_UK_ @Cuchie_cue No. Unless they are 83.
"
REAL,@Unlocked_UK_ @Charlotte3003G Cut off oxygen to their brains when they're ostensibly supposed to be strengthening them... seems obvious...but its covid 1984. Things dont have to make sense anymore
REAL,@Unlocked_UK_ @Fox_Claire What do experts say ?
REAL,@Unlocked_UK_ @MadyWaterer never in a hundred years
REAL,@Unlocked_UK_ @MartinDaubney Does Unlocked do nuance?
REAL,@Unlocked_UK_ @MartinDaubney No one should have to wear one. Should be a matter of choice.
REAL,@Unlocked_UK_ @MartinDaubney Mask them up walk them with a placard and end union interference with our children's education once and for all. Kids should not be used as political pawns.
REAL,@Unlocked_UK_ @MartinDaubney Echo chamber poll...
REAL,"@Unlocked_UK_ @MartinDaubney No, they should take the option to homeschool and follow the @PatAlternative curriculum"
REAL,@Unlocked_UK_ @LeProfMoriarty STOP ASKING THIS CRETINOUS QUESTION! LEAVE OUR KIDS ALONE
REAL,"@Unlocked_UK_ @Fox_Claire If this happens, the long term psychological impact on children will be massive! Ie: youll be raising a generation prone to OCD, health and cleanliness complexes, and anxiety triggered by illness."
REAL,@Unlocked_UK_ Its child abuse. And the woke perverts are getting off on this control. Sturgeon is one.
REAL,@Unlocked_UK_ Theres no virus. Theres nobody wanting to be injected with media invested vaccines for Gates either. Who is paying presenters high salaries to f*ck a nation. 
