category,text
REAL,"Q: Do I need to use a washing machine and drier to wash and dry clothes, towels and bed linen, if NO ONE in my household is a suspected or confirmed #COVID19 patient?

A: 

#coronavirus #KnowtheFacts "
REAL,"Q: How should I wash and dry clothes, towels and bed linen, if SOMEONE in my household is a suspected or confirmed #COVID19 patient?

A: 

#coronavirus #KnowtheFacts "
REAL,"@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho All this information is beneficial for yourself, please adopt all these.
@Fitcoach_anil"
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Thats why with caneras rolling only the most socially distanced are wearing masks while the one at the Mike has moistly conversations unencombered by surgical or N95 facial coverings. Muzzle t
REAL,"@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho WHO: ð
Worlds best swimmer before the pandemic:
"
REAL,"@kissgyorgy @WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho That type of mask (supposedly) restricts O2 on purpose to mimick training at a higher altitude where there are naturally lower O2 levels, so that when you compete at normal altitud"
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Whether people should wear mask at the time of morning walk.
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho All types of masks or there is an exception?
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho I guess gyms should be closed then
REAL,@WHO @serapsimsekyvz @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Siperlik ve mesafe iÅe yarayabilir.
REAL,"@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Health first for our dear family,kins, friends, well-wishers and our general folks. 
We need to go beyond masks.. thinking out of the box I best.."
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Hoax
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho an update babe @veraciu
REAL,@jelliclesx yep! thank you babe. i dont wear mask while running sin. ga pake masker aja dah engap gmn pake masker. pengsan.
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho 
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Thanks for the update #WHO
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Wear a face shield
REAL,"@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho I think one meter distance is not enough, especially while doing sports with a lot of ð and deep breathing. Best to do it outside, too. This is dangerous advice and I am shocked!"
REAL,@Jotem27007 @WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho I agree with you the 1 meter is not enough~! It should be at least 2 meters (which is more than 6 feet)
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho It is too late to remind people to wear masks. Is it a really hard decision to make for Mr Chief to announce it? Why did not the leaders think about Taiwan as a good example of infection contr
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Can people wear masks with 40Â°C?
REAL,"@EstebanFez @WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Yes, they wear them in Thailand all the time when the pollution is bad or for illness, and the temperature can get much hotter than that.

People wear them to work and children &am"
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho 2 meter coco
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Very true.. practice social distancing of an appropriate manner.. make sure Equipment when lifting is wiped down and clean.. and sanitize your hands.. change your clothes afterward.. and keep 
REAL,@WHO @JerryDunleavy @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Is this contrary to CDC guidelines?
REAL,@ShingyoujiP @WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Good point but youâre talking about people in good to exceptional shape &amp; health. That is not all of us
REAL,"@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho The only thing I have changed since this thing of yours started in my attitude toward @WHO 
I live normally 
I am not worried about #COVID  as much as I am about the lies &amp; Wickedness surr"
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Can people stop breathing while exercising?
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Boycott china
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho ððCOMMON SENSE can tell you this much...itâs HARD to breathe sitting STILL for crying out loud! â¹ï¸
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Not agree on this. Not all people want to practice distancing and it would be too late when youâre running and realizing someone passing next to you exhaling all droplets right at your face
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho I wear a mask all the time when running in winter.   Never a problem
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho So no gym???
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Depends on who's standing next to you
REAL,"@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Interesting - @MassGovernor &amp; @MassLtGov say itâs completely safe to exercise in masks and itâs required in Massachusetts.  If none of the experts agree, how can they expect the public"
REAL,"@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Is this your recommendation for indoor exercise as well?  If so, that seems irresponsible. Please clarify."
REAL,"@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Excellent point, super informative!"
REAL,@NeeleyEunice @WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho So does LeBron James 
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho I wish for consistency in messaging. One meter?
REAL,@jenrossa @WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho yea used to be 6 feet ..   wtf
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Should people wear masks while having sex?
REAL,"@CPOMORAGA @WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Itâs all according, if you walk in the room and it smells like an open can of tuna in there, you better wear a thick mask."
REAL,@WHO @WHO_Europe @WHOEMRO @WHOAFRO @WHOSEARO @WHOWPRO @pahowho Can a teacher &amp; the learners maintain masks for a days period?
