category,text
REAL,How to Enjoy the Fourth of July Weekend Amid the COVID-19 Resurgence
REAL,CDC Expands List of Those with Higher COVID-19 Risks: What to Know
REAL,Feds Warn That Face Mask Exemption Cards Are Fake
REAL,Experts Confident Bidens COVID-19 Response Could Speed Recovery
REAL,Heres Exactly Where We Are with Vaccines and Treatments for COVID-19
REAL,New Study Details the Best Types of COVID-19 Face Masks
REAL,States Are Learning What Happens to COVID-19 Cases If You Reopen Too Early
REAL,What to Know About Potential COVID-19 Treatment Remdesivir
REAL,Fighting Family Burnout During the COVID-19 Crisis
REAL,"Travel Bans, Quarantines Dont Stop COVID-19 Spread, but They Can Delay It"
REAL,Learn to Spot Fake Health News with These 5 Tips
REAL,People of Color Face Heightened Risks as COVID-19 Surges Again
REAL,"Not Sure You Have COVID-19? Here Are the Symptoms for Coronavirus, Flu, and Allergies"
REAL,FDA Says You Should Avoid These 9 Hand Sanitizers That Contain Toxic Methanol
REAL,"Why COVID-19 Cases, Hospitalizations Are Spiking in California"
REAL,More Young People Are Getting COVID-19: What That Means for the Outbreak
REAL,"No, Face Masks Cant Cause CO2 Poisoning"
REAL,People More Likely to Keep Their Distance If Youre Wearing a Mask
REAL,Is COVID-19 Triggering Type 1 and Type 2 Diabetes?
REAL,Q&A: Lenox Hill Doctor Discusses Netflix Series and Life in a New York City Emergency Room
REAL,Drug-Resistant Bacteria Can Be Hidden Danger for People with COVID-19
REAL,This Is Far from Over: Why We Need to Learn to Live with COVID-19
REAL,Lifelong Lung Damage: The Serious COVID-19 Complication That Can Hit People in Their 20s
REAL,Does Your Blood Type Increase Your Risk for Coronavirus?
REAL,How COVID-19 Disrupted Education and What Parents Can Do About It
REAL,7 Simple Ways to Protect Yourself from COVID-19 as You Leave Lockdown
REAL,"How This Utah Woman with Diabetes, Asthma, and MS Beat COVID-19"
REAL,"CDC Gives Guidelines for Travel, Cookouts"
REAL,"Home Monitoring Can Improve Health, Ease Anxiety for COVID-19 Patient"
REAL,"Why Your Gym, Dentist, or Hairdresser May Ask You to Sign a COVID-19 Liability Waiver"
REAL,The Consequences of Reopening Are Here: COVID-19 Cases on the Rise
REAL,Inexpensive Steroid May Help Treat Sickest COVID-19 Patients: What We Know
REAL,How COVID-19 Affects Children Compared to Adults
REAL,How to Reduce Your COVID-19 Risk During Your Daily Work Commute
REAL,COVID-19 Will Mutate  What That Means for a Vaccine
REAL,5 Simple Tips to Help Manage Social Anxiety After Leaving Lockdown
REAL,Rising COVID-19 in Arizona Could Be Warning Sign as States Reopen
REAL,Is a Hotel a Safe Place During COVID-19? Heres What to Look For
REAL,Why 1 in 4 Parents Are Hesitant to Have Their Children Vaccinated Against the Flu
REAL,Is the New Coronavirus Getting Weaker? What to Know
REAL,Will COVID-19 Finally Get Us to Take Our Diets Seriously?
REAL,"Yes, You Can Get COVID-19 from Someone Without Symptoms"
REAL,25% of People Believe Unproven Conspiracy Theories About COVID-19
REAL,Important Cancer Screenings Have Decreased During COVID-19
REAL,"If Youve Been in a Crowd, Should You Get Tested for COVID-19?"
REAL,False Hope? What Happens If a COVID-19 Vaccine Isnt Ready by Early Next Year
REAL,Heres Why COVID-19 Can Spread So Easily at Gyms and Fitness Classes
REAL,My Kid Is Immunocompromised. Heres How Life Has Changed During COVID-19
REAL,"Without Lockdowns, Another 60 Million People in U.S. Could Have Developed COVID-19"
REAL,"As Businesses Reopen, Here Are Some of the Highest Risk Places for COVID-19"
REAL,Nearly 20% of People Have Used Bleach on Food Due to COVID-19
REAL,Researchers Unveil the Best Ways to Lift COVID-19 Lockdowns
REAL,When Can I Start Hanging Out with My Friends Again?
REAL,Hot Weather May Make It Harder for the Coronavirus to Survive on Surfaces
REAL,People with Cancer Have to Choose Between Treatment and COVID-19 Risks
REAL,When Should You Get a COVID-19 Test? What About an Antibody Test?
REAL,Why More People Are Eating Plant-Based Protein During COVID-19
REAL,A Double Bubble Strategy Can Help During COVID-19: Heres How to Do It Properly
REAL,Dr. Anthony Fauci: COVID-19 Will End and We Will Get Control Over It
REAL,Wearing a Mask Can Help Us Get Out of Lockdown Safely
REAL,Why Companies Are Making Billions of COVID-19 Vaccine Doses That May Not Work
REAL,To the ICU and Back: How 3 People Overcame Severe Cases of COVID-19
REAL,COVID-19 Racing Through Nursing Homes: What Families Can Do
REAL,"Studies on Hydroxychloroquine Retracted, Early Evidence Lacking"
REAL,Why Swedens COVID-19 Strategy Cant Work in the U.S.
REAL,How Olympian Kerri Walsh Jennings Is Staying Healthy During COVID-19
REAL,The Places Youre Least Likely to Get COVID-19
REAL,Shortages of Antidepressant Zoloft Reported in the Midst of COVID-19 Pandemic
REAL,Lyme Disease and COVID-19 Can Share Similar Symptoms: How to Tell Them Apart
REAL,Why Wearing a Mask Is Important When Going to Protest
REAL,How One Nursing Home Stopped a COVID-19 Outbreak
REAL,What New CDC Guidelines Mean for Workplaces as They Reopen
