category,text
REAL,"Despite New Safety Guidelines, Experts Say Movie Theaters Are High-Risk Even with new safety guidelines in place, health experts say going to the movies is very risky during the pandemic.

(Feed generated with FetchRSS)"
REAL,"What to Do When You Clash with Your Kids Grandparents About COVID-19 Experts say it's common for family members to have differing opinions about how best to protect kids from the COVID-19 pandemic, but it's best to

(Feed generated with FetchRSS)"
REAL,"What You Need to Know If You Plan to Fly on an Airplane During COVID-19 CE complete. I changed a couple of instances of ""contract COVID-19."" Thank you!

(Feed generated with FetchRSS)"
REAL,"New COVID-19 Saliva Tests Now Available: Are They the Breakthrough We Need? The new tests can produce results in a matter of hours, allowing people to get treatment sooner if they test positive or return to work if they test

(Feed generated with FetchRSS)"
REAL,"Psychologist Talks to Healthline About Mental Strain of COVID-19 Dr. Timothy Legg spoke at a Healthline town hall today on the COVID-19 pandemic. The town hall also featured Dr. Anthony Fauci, director of the

(Feed generated with FetchRSS)"
REAL,"A Physician on the Front Lines Talks About Treating Patients and Getting COVID-19 For months, Dr. Raj Dasgupta has been treating patients as a pulmonary critical care physician at Keck Medicine of the University of Southern

(Feed generated with FetchRSS)"
REAL,"How Schools Can Easily Become Superspreaders of COVID-19 Experts say schools need to implement safety precautions such as mask wearing and staggered class schedules to reduce the risk of COVID-19 spread.

(Feed generated with FetchRSS)"
REAL,"For Homemade Face Masks, 3 Layers Are Better Than 1 New research finds although the CDC recommends even a single-layer cloth mask as protection, two or three layers are best.

(Feed generated with FetchRSS)"
REAL,"Theres More Evidence That Black Americans Face High Risks from COVID-19 Gaps in healthcare make it harder for many Black Americans to manage chronic health conditions that may contribute to poor outcomes from COVID-19.

(Feed generated with FetchRSS)"
REAL,"Do You Need to Wear Goggles to Stay Safe from COVID-19? New research shows that we could take it a step further by making sure our eyes are covered with protective goggles or a face shield.

(Feed generated with FetchRSS)"
REAL,"How Pooled Testing Can Help Us Fight Spread of COVID-19 Testing is necessary to reopen the economy and schools  however its almost impossible to do this using conventional testing methods.nnnnThe FDA has

(Feed generated with FetchRSS)"
REAL,"COVID-19 Damaged Heart of Elite Athlete: What Does That Mean for the Rest of Us? Boston Red Sox pitcher Eduardo Rodriguez has been benched for a least a week after being diagnosed with inflammation of the heart muscle, possibly

(Feed generated with FetchRSS)"
REAL,"How and When Children Should Return to Sports During COVID-19 Experts say small group practices and clean common areas should be among the guidelines before children return to the playing field.

(Feed generated with FetchRSS)"
REAL,"Medical Experts Say We Need a Second Shutdown to Control COVID-19 Over 150 medical experts signed an open letter advising government officials to implement a second shut down. They say we need to shut down in order

(Feed generated with FetchRSS)"
REAL,"New Research Finds Kids Just as Likely as Adults to Spread COVID-19 As the debate to reopen schools continues, new research shows that children can spread COVID-19 as easily as adults.

(Feed generated with FetchRSS)"
REAL,"Can You Have a Second Wave of COVID-19 If the First Never Ended? Many Americans wonder what the coming months of the pandemic will look like in states where case rates are currently high, as well as states where the

(Feed generated with FetchRSS)"
REAL,"How Businesses Requiring Masks Protects Workers and You from COVID-19 A growing number of businesses are putting policies into place requiring the use of face masks. Heres how that will help us reduce the spread of

(Feed generated with FetchRSS)"
REAL,"Fauci Warns About Post-Viral Syndrome After COVID-19 Dr. Anthony Fauci, Director of the National Institute of Allergy and Infectious Diseases and member of the White House Coronavirus Task Force

(Feed generated with FetchRSS)"
REAL,"Smoking Puts 1 in 3 Young Adults at High Risk for Severe COVID-19 New research looked at the health data of people between the ages of 18 and 25 and found that 32 percent of young adults are susceptible to

(Feed generated with FetchRSS)"
REAL,"Taste bud cells might not be a target of SARS-CoV-2: An early symptom among some COVID-19 patients is the loss of the sense of smell and/or taste, which led to the suspicion SARS-CoV-2 could be targeting taste buds. But initial data from mice suggest that might not be the ca"
REAL,"Research Shows Exposure to Common Cold Coronaviruses Can Teach the Immune System to Recognize SARS-CoV-2

Researchers caution: It is too soon to say whether pre-existing immune cell memory affects COVID-19 clinical outcomes. Your immune system's ""memory"" T cells keep track (1/2)"
REAL,Exposure to common cold coronaviruses can teach the immune system to recognize SARS-CoV-2  Medical Xpress
REAL,The six strains of SARS-CoV-2
REAL,Vaccine additives can enhance immune flexibility -- Implications for flu and SARS-CoV-2
REAL,"Obesity and metabolic syndrome are risk factors for severe influenza, COVID-19: Metabolic syndrome increases the"
REAL,Common FDA-approved drug may effectively neutralize virus that causes COVID-19
REAL,The Antiviral used to treat cat coronavirus also works against SARS-CoV-2 #health
REAL,Antiviral used to treat cat coronavirus also works against SARS-CoV-2
REAL,"Researchers show children are silent spreaders of virus that causes COVID-19. The infected children were shown to have a significantly higher level of virus in their airways than hospitalized adults in ICUs for COVID-19 treatment.

#COVID19 
#COVID19Lessons"
REAL,Researchers show children are silent spreaders of virus that causes COVID-19. The infected children were shown to have a significantly higher level of virus in their airways than hospitalized adults in ICUs for COVID-19 treatment.
REAL,"Malaria discovery could expedite antiviral treatment for COVID-19
New research into malaria suggests targeting enzymes from the human host, rather than from the pathogen itself, could offer effective treatment for a range of infectious diseases, including COVID-19."
REAL,Re-engineering antibodies for COVID-19
REAL,Rapid test for the determination of antibodies against Sars-Cov-2
REAL,"Coronavirus antibodies fall dramatically in first 3 months after mild cases of COVID-19 according to new UCLA study. Decreasing by roughly half every 73 days. If sustained at that rate, the antibodies would disappear within about a year"
REAL,Type 1 interferon deficiency: Biomarker of patients at risk of severe COVID-19  The two GOP senators both made the same blunder. Joey Ryan #HankHill
REAL,Type 1 interferon deficiency: Biomarker of patients at risk of severe COVID-19
REAL,Why lopinavir and hydroxychloroquine do not work on COVID-19
REAL,Study explains why lopinavir and hydroxychloroquine do not work on Covid-19: Results clearly indicate that drug metabolism enzymes (cytochrome P450 3A) are inhibited by systemic inflammation
REAL,Blood clots and lung injuries found in patients who have died of COVID-19!  Fujaira Prince Ziyech
REAL,"Blood clots and lung injuries found in patients who have died of COVID-19- According to the scientists, in people with severe Covid-19, one of most abundant cytokines released is called TNF #VWFC #tfclive"
REAL,"Lung ultrasound shows duration, severity of coronavirus disease (COVID-19)"
