category,text
REAL,@NPR Forget it. Trumps briefings are useless.
REAL,@NPR no thanks
REAL,"@NPR If Dr Fauci is not here,  this will be a waste of time.  All we will hear will be lies"
REAL,@NPR No thanks
REAL,"@NPR There will be a very special unannounced guest at today's shitshow. 
#TheSeventhSeal "
REAL,"@NPR Will not listen to NPR as long as you are airing these disinformation commercials live. And maybe not after that. What incredibly poor news judgment, NPR."
REAL,@NPR Let me know how it goes- I cannot watch this horrible incoherent representation of a leader of our country. It saddens me still that he was put in office and allowed to stay in office. Republicans have to stand up!
REAL,@NPR Nope
REAL,@NPR Stop airing this jesus christ
REAL,@NPR We dont want to watch him say things like suggesting people inject themselves with bleach. Stop airing these things live.
REAL,@NPR Can trump win an award for best comedy series?
REAL,@NPR I am a long time NPR addict &amp; contributor. I am being pushed away by the airing of these rallies. He doesnt give substantial information. He touts himself &amp; lies about his success. Public Radio shouldnt be a party to his ridiculousness. S
REAL,"@NPR Nope, Ive no intention to watch that BS!"
REAL,@NPR At least the VP does not make my brain want to escape while screaming.
REAL,"@NPR Why @NPR, why? Not watching and dont understand why you keep promoting this."
REAL,"@NPR No thanks, I'll wait for the analyses. It hurts me to watch ""experts"" tailor their message to match/assist a political agenda, especially one founded on the whims of a reckless and foolhardy con artist."
REAL,@NPR No thank you.
REAL,@NPR Not watching them.
REAL,@NPR And so the #dogandponyshow returns...
REAL,@NPR Just wow... bye NPR. You're slowly becoming Faux News 2.0
REAL,@NPR Why are you covering these lies?
REAL,@NPR Theres never any updates on the coronavirus outbreak. Stop covering them or start to call him out on his bullshit
REAL,"@NPR Ooooh, so, if we watch, we can get more important updates like ""UV light"" and ""Disinfectants?""

I think I'll stick with Schitt's Creek: more usefulness."
REAL,@NPR The insane man in the peoples house is batshit crazy  so nope no thank you. Tape his crazy suggestions because he doesnt have any new information!
REAL,@NPR No. They told us to inject bleach into our lungs yesterday. Stop airing it FFS.
REAL,@NPR Stop airing this garbage.
REAL,"@NPR Why do you broadcast him live?  He is lie, upon lie!"
REAL,@NPR Stop airing these useless trump rallies
REAL,@NPR @NPR please dont title this The latest updates... we are not getting that from this @WhiteHouse
REAL,@NPR Or just wait until the tweets after to find out what kind of poison to inject
REAL,@NPR Not watching. Please show something with doctors or experts.
REAL,"@NPR NPR - i am a HUGE fan, but WHY IN THE WORLD Do you keep broadcasting this crazy mishmash of idiocy and self-promotion"
REAL,@NPR @NYGovCuomo @GavinNewsom @SpeakerPelosi @KamalaHarris    They are extending Their applreciation to Governors by witholding Financial Help For States &amp; Asking Them To File StateBankruptcy.  #BankruptcyTheTrumpAppriciationWay! 
REAL,"@NPR Quite disappointed that you're calling these 'updates', it is unadulterated lies and some VERY dangerous lying at that, make-believe"
REAL,@NPR No thanks.  I prefer reality not a reality show clown.
REAL,@NPR Pass.
REAL,"@NPR FIRST words of empathy since the beginning of this, written by someone else that he has to read. Everything is bigger, faster, better than anything in the universe (without proof)."
REAL,@NPR This is embarrassing!!!
REAL,@NPR WHERE ARE THE 4 MILLION TESTS YOU PROMISED?
REAL,@NPR I will wait because 
REAL,@NPR So much sarcasm
REAL,@NPR what the hell is the matter with him...today?
REAL,@NPR He looks like a bored toddler.
REAL,"@NPR National Propaganda Radio at it again, live streaming ""news""."
REAL,"@NPR Sorry, just couldn't bring myself to watch, just couldn't."
REAL,"@NPR Get the latest misinformation.  There, fixed it for you."
REAL,@NPR I thought Agent Orange was giving these up.
REAL,"@NPR There are no ""latest updates."" It's a corporate gang bang, designed to do the impossible: make a credibility-free, unstable despot appear respected. It's not to the nation; it's to sycophantic execs afraid of his wrath, and Fox News. 

It does not be"
REAL,@NPR why?
REAL,@NPR Must we?
REAL,@NPR Why?
REAL,"@NPR Opening up again - it's like they know that by abandoning efforts to stop the pandemic too soon, and putting us all at risk, they will have to do this all over again..."
REAL,@NPR S.  I. G.  H.
REAL,@NPR Backup give me 6 oh yeah bring your own mic
REAL,@NPR they are all touching the same podium
REAL,@NPR Main agenda of today's breifing.. more praise for the President!
REAL,@NPR No.
REAL,@NPR I like when POTUS hands the stage over to corporate America.  then he comes back to the microphone .
REAL,@NPR No
REAL,@NPR Thank you.
REAL,@NPR Another session of dumbfuckery.
REAL,"@NPR When he has trouble reading a printed speech about feeling grief,  is there anyone who thinks he gives a shit?

Zero empathy.  #TrumpOwnsEveryDeath"
REAL,@NPR The Fool just can't stay on script.
REAL,"@NPR Yeah, let's bring up a parade of suck-ups."
REAL,@NPR Nope Ill pass that shit show
REAL,@NPR please stop covering this crap!!
REAL,@NPR #IMPOTUS stands like a lady in stilettos because he wears high heeled lift shoes. How that is supposed to make him more manly is a mystery
REAL,@NPR No Im sick of his disinformation rallies #stopairingtrump #stopairingtrump #Gaslighting #GASLIGHTINGFACTS #TrumpMadness #TrumpMeltdown #trumpgenocide #TrumpLiesAboutCoronavirus #TrumpLiesAmericansDie
REAL,"@NPR No. 

Also- youre getting ratioed on these now. Just stop airing them"
REAL,@nytimes That's not the latest. This is 
REAL,"@nytimes 45 days &amp; 50,000 USA deaths AFTER declaring a NATIONAL EMERGENCY, the White House STILL has not invoked the Defense Production Act for urgently needed MASS TESTING capacity and PPE!

#CatastrophicIncompetence "
REAL,"@nytimes #metoo only applies when it is convenient to the democrats. This is more double standard two faced media and liberal leaders. You all should be ashamed of yourselves. Liars you said believe all women. Now you say well if it is 
@JoeBiden do not b"
REAL,"@nytimes Please fill out COVID 19 survey
IF 18 and OVER
IF YOU HAVE HAD CORONAVIRUS

Please follow BHW DATA page and share"
REAL,@nytimes 
REAL,@nytimes NYT does not report news. They ignore Biden sexual assault claims. They have lost all credibility. They are a propaganda machine. 
REAL,"@nytimes Two more women came forward today, on the record, to corroborate Tara Reade's forced sexual penetration and retaliatory firing claim against Joe Biden. One is a registered Democrat. When will you start asking questions? #Metoo #MeTooUnlessItsBide"
REAL,@nytimes COVID 19 / coronavirus is the cause of this and other diseases .
REAL,@nytimes You need to cover the states that reopened and the lack of data of increased coronavirus deaths being suppressed
REAL,"@nytimes Z

PL1"
REAL,@nytimes Hope all animals get Corona virus so humans stop wearing their skins or eating them!  It s time humans stop the massacre of all animals!!!
REAL,"@nytimes Corona!?
What about Elon musk launching several sattelites, that"" as they say, will be a breaktrue to ms for internet,""
Did they say that every sattelite will open a breaktrue for cosmis radiation when tranmitting to earth..
Who, is the mind melt"
REAL,"@nytimes THE REAL THREAT TO #America = #Democrats #FakeNews! 3 + yrs. @nytimes + covered-up, denied, refused to call out FACT #FBI #DOJ involved in &amp; 
@HillaryClinton + PD BIG TO ATTEMPT #Coup of #DJT. @GenFlynn + LIVES RUINED, PAID 4 by #Taxpayer"
REAL,@nytimes Earth to Mockingbird: News Flash: Wells Fargo is still a thing? Akin to Jean Lafitte and Company being listed on the New York Stock Exchange.
REAL,"@nytimes Hi guy's if you're in need of a pro hacker's service, contact @hacker_peterr01 on Instagram @hacker_peterr01 on Twitter He's the best you can find here.He recovers accounts,hacks all types of social media accounts and also give followers all at a"
REAL,@OneRingyDinger @nytimes Noticed the same thing and refreshing the page didnt help either.
REAL,@nytimes Can you reporters ask the important questions about treatments and vaccines updates at the White House press conference.
REAL,"@nytimes I can Create any kind of powerpoint presentation within 2 hours . 

Hire me only in 5 dollar
"
REAL,@nytimes .@nytimes I'm from Poland. I'm a blogger. I don't believe #China  I read on Twitter at the moment!!! 
REAL,"@nytimes If you are looking for a High-quality Graphic Designer who can design modern &amp; minimalist Logos, I'm your freelancer : )

Let's create something amazing! Place an order now  "
REAL,@nytimes thank god we have you guys
REAL,@nytimes  
REAL,"@News12 @News12LI @NYGovCuomo What most don't realize is the # of new cases is because people are getting their results back from 3-5 or 5-10 days ago. So in theory,  they really arent new,  just proven positive."
REAL,@News12 @News12LI @NYGovCuomo Its not a update when its the same thing every day
REAL,@News12 @News12WC @NYGovCuomo Update Child Pedophiles are still working in the Lakeland School District And the entire school district Westchester County PD &amp; DA all cover it up!  Put my name in search bar Video ME ADM BOE 
REAL,"@News12 @News12WC @NYGovCuomo Dear #Governor_Andrew Cuomo, I am one of many essential workers. I love what I do. Before Covid-19 we stood/stand on the front line dealing with plenty of other contagious viruses and we still are put on the back burner. Ther"
REAL,"@News12 @News12WC @NYGovCuomo Meanwhile, DOCTORS,QMA,RN,LPN,CNA,MA'S,PHARMACY WORKERS, SOCIAL WORKERS,UTILITY WORKERS, MTA, SANITATION, SUPERMARKET, PD, FD,HEALTH CENTERS WORKERS, CAREGIVERS, POSTAL WORKERS, PARKS DEPARTMENT, NYCHA WORKERS, HRA WORKERS, D"
REAL,"@News12 @News12WC @NYGovCuomo Truck DRIVERS all put their life on the line not only our lives but our families lives also.  If it wasnt for us and if we all went on strike tomorrow, who would you turn to? Where is our hazard pay and bonuses?  Better"
REAL,"@News12 @News12HV @NYGovCuomo When there is ZERO new positive cases, let me know. Until then I'll pass. We still shouldn't have 3,000+ new positive cases on Monday with the lockdowns we have, no school, ECT weeks into this. Facts are being withheld."
REAL,"@nytimes Title COVID-19 

 "
REAL,"@News12 @News12LI @NYGovCuomo The Furor!! He never mentions his brother fled Manhattan, went to his house in East Hampton and infected his own family and half of Suffolk County."
REAL,@News12 @News12LI @NYGovCuomo You cant do summer school when theres no AC in the buildings. It would be 100 degrees and everyone would be getting heatstroke
