category,text
FAKE,The U.S. CDC quietly updated their numbers in August to show that only 6% of all coronavirus deaths were completely due to the coronavirus alone
FAKE,"Social media posts shared thousands of times and retweeted by President Donald Trump claim the U.S Centers for Disease Control and Prevention cut the national COVID-19 death toll by 94%, citing a CDC comorbidity chart."
FAKE,"The CDC updated the COVID-19 number to admit that only 6% of all the 153,504 deaths recorded actually died from COVID-19."
FAKE,"Either masks work or they dont; if masks work, then physical distancing and lockdowns are unnecessary."
FAKE,"The RT-PCR test for the virus that causes COVID-19 detects human DNA on chromosome 8, therefore all tests will give a positive result"
FAKE,The Governor of Maine has ordered restaurant staff to wear dog cone-style face visors as a precautionary measure against COVID-19.
FAKE,The greatest trick the U.S. CDC ever pulled was convincing the world you can be sick without having symptoms.
FAKE,"The survival rate of COVID-19 is close to 100% without a vaccine, so what exactly will the purpose of the new vaccine be?"
FAKE,Misleading claims about COVID-19 vaccine spread by Plandemic video
FAKE,"Photos show Democratic presidential nominee Joe Biden and his running mate, Sen. Kamala Harris, are not abiding by public health recommendations regarding face masks."
FAKE,"Facebook posts shared tens of thousands of times during the Democratic National Convention criticize Joe Biden, Kamala Harris, and other top Democrats for appearing in a crowd without masks."
FAKE,"Hydroxychloroquine is why Uganda, with a population of 43M, has only 15 COVID-19 deaths."
FAKE,The overall lethality of COVID-19 (infection fatality rate) is about 0.1% to 0.3% and thus in the range of a severe influenza; up to 60% of all persons may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses (i.e. cold viruses); there is still little to no scientific evidence for the effectiveness of cloth face masks in healthy and asymptomatic individuals
FAKE,Our chance of not dying from COVID-19 is 99.96%
FAKE,Would you take a vaccine with a 33% death rate to feel safe from a virus with a 0.06% death rate?
FAKE,"Sweden has a lower COVID-19 death rate than Spain, Italy and the U.K., even though it never had a lockdown"
FAKE,"A large, country-randomized controlled trial with 2.7 billion people shows that COVID-19 patients treated with hydroxychloroquine have a 79.1% lower death rate"
FAKE,"Posts shared thousands of times on social media claim Legionnaires disease, a serious type of pneumonia, can be contracted through reusable face masks, implying that it could be mistaken for COVID-19."
FAKE,Social media posts shared thousands of times attribute comments criticizing coronavirus measures to Fox News host Tucker Carlson.
FAKE,An image appearing to be an publication by the World Health Organization (WHO) shows that the global health body does not recommend mask-wearing during the COVID-19 pandemic.
FAKE,"If masks were effective and necessary, non-mask wearers should be dead by now"
FAKE,A Facebook post shared thousands of times claims the United States has reached herd immunity for COVID-19.
FAKE,"We cant make a vaccine that works for flu, no vaccine for the respiratory syncytial virus (RSV), and we cant cure cancer. Yet somehow scientists can make a vaccine for COVID-19 in six months?"
FAKE,"Hydroxychloroquine, azithromycin and zinc cure COVID-19"
