category,text
FAKE,Facebook posts shared in at least three countries as scientists work to develop a COVID-19 vaccine claim to offer a legal way to refuse vaccination.
FAKE,Wisconsin is Òclearly seeing a decline in COVID infectionsÓ.
FAKE,Facebook posts claim a child who is infected with the novel coronavirus will be taken to a hospital unaccompanied.
FAKE,IndiaÕs Ministry of Home Affairs banning citizens from posting about the new coronavirus on social media.
FAKE,"42 Democratic senators, plus two Independents, voted against sending direct payments to Americans as part of the coronavirus economic stimulus package."
FAKE,The photo of a vaccine for canine coronavirus proves that a vaccine exists for the novel coronavirus that causes COVID-19.
FAKE,A picture of a reporter in protective medical gear is an example of how the American media ÒhypesÓ the COVID-19 pandemic.
FAKE,"A photo taken by a journalist showing a beach in Jacksonville, Florida, isnÕt from after the government reopened the beach as news reports have claimed."
FAKE,News photo from stay-at-home protest was doctored to add Confederate flag.
FAKE,"Says a photo shows the ÒSAME EXACT PEOPLEÓ at Òtwo different beachesÓ in Los Angeles County and Jacksonville, Florida."
FAKE,ÒMy wife is suffering from coronavirus and she is pregnant. The doctor said she wonÕt survive it.Ó
FAKE,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.
FAKE,The COVID-19 virus cannot spread in areas sprayed with eucalyptus oil vapor.
FAKE,Goodwill Industries International has fired all its employees because of the coronavirus pandemic.
FAKE,Says WisconsinÕs in-person election has caused a ÒsurgeÓ in new coronavirus cases
FAKE,Nobel laureate Luc Montagnier claimed that the coronavirus genome contained sequences of HIV (the virus that causes AIDS).
FAKE,TrumpÕs claim that ObamaÕs handling of the 2009 swine flu pandemic was a disaster.
FAKE,"House of Representatives Speaker Nancy Pelosi posted and deleted a video on her Twitter account, in which she calls on people to visit Chinatown in San Francisco."
FAKE,"House Speaker Nancy Pelosi delete a February 24, 2020, video of herself from Twitter in which she encouraged people to visit Chinatown in San Francisco."
FAKE,The Food and Drug Administration (FDA) authorized BodysphereÕs two-minute COVID-19 testing kit.
FAKE,"Posts shared more than 2,000 times on social media appear to show a 2009 tweet from Donald Trump criticizing then-president Barack ObamaÕs handling of the H1N1 pandemic and placing ÒALL responsibilityÓ on presidents in a crisis."
FAKE,AmazonÕs Alexa says the government released the coronavirus.
FAKE,"In the United States, there are Ò360,000 (deaths) a year from swimming pools. But we donÕt shut the country down for that.Ó"
FAKE,Hospitals compensated 15% more for COVID-19 patients under the stimulus package and New York City hospitals are inflating their coronavirus numbers.
FAKE,A video argues that the pandemic could have resulted from the accidental or intentional release of either a natural virus under study or an artificial virus that was bioengineered (manmade).
FAKE,Says Democrats are on vacation until May 4 and Òrefuse to come backÓ to sign a bill to help small businesses.
FAKE,"ÒThis is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.Ó"
FAKE,Thieves are handing out chemically doused face masks to knock people out before robbing them.
FAKE,Economic stimulus payments to U.S. citizens will either reduce future tax refunds or will have to be paid back.
FAKE,"Valley County, Montana, mandated pink arm bands for residents who had submitted to quarantine protocol."
FAKE,"Gov. Andrew Cuomo Òwas simply saying if we can share 20 percent of your excess, your non-used ventilators, to help people in other parts of the state on a voluntary basis, that would be great. Of course, there was a reaction to that, which was not positive.Ó"
FAKE,TrumpÕs claims about how quickly WHO acted to announce human-to-human transmission
