category,text
REAL,Coronavirus Outbreak: Live Updates
REAL,"Screen Time Doesn?t Hurt Kids? Social Skills, Study Finds"
REAL,Here?s Exactly Where We Are with Vaccines and Treatments for COVID-19
REAL,Here?s What Happens to the Body After Contracting the New Coronavirus
REAL,Why You Should Be Skeptical of Early Results of COVID-19 Drug
REAL,What Your Social Media Posts Say About Your Stress Level Right Now
REAL,Rural America Could Be the Region Hardest Hit by the COVID-19 Outbreak
REAL,Experts Warning: Don?t Use Off-Label Medications for COVID-19 Treatment
REAL,Why Soaking Up the Sun to Treat COVID-19 Isn?t a Bright Idea
REAL,What to Know About a Long Recovery Period After Surviving COVID-19
REAL,"Why Cooking Chicken to 165 Degrees Is Critical for Ensuring Safety, Preventing Illness"
REAL,Why COVID-19 is Hitting Men Harder Than Women
REAL,What to Know About COVID-19 Testing Right Now
REAL,Toddlers to Teens: How to Help Kids Cope with Stress from COVID-19
REAL,Losing Your Sense of Smell May Be an Early Symptom of COVID-19
REAL,1 in 5 Cancer Survivors Stays at Their Job Due to Fears of Losing Health Insurance
REAL,How Donating Your Plasma Can Help Others During the COVID-19 Pandemic
REAL,How Parents Can Help Themselves and Their Children with COVID-19 Stress
REAL,Americans Are Accidentally Poisoning Themselves with Cleaning Supplies
REAL,The Unusual COVID-19 Symptoms You Can Miss
REAL,Want to Help COVID-19 Researchers? You Don?t Have to Leave Your Living Room
REAL,From Protests to Parties: Why Gathering in Groups Is a Terrible Idea Right Now
REAL,FDA Issues Warning About Hydroxychloroquine Over Heart Issues
REAL,COVID-19 Racing Through Nursing Homes: What Families Can Do
REAL,As Many as 50 Percent of People with COVID-19 Aren?t Aware They Have the Virus
REAL,"Not Sure You Have COVID-19? Here Are the Symptoms for Coronavirus, Flu, and Allergies"
REAL,Controversial Studies Find COVID-19 May Be Far More Widespread Than Previously Known
REAL,Risk of Death from COVID-19 Four Times Greater for Those with Diabetes
REAL,How Mild COVID-19 Symptoms Can Quickly Turn Serious
REAL,COVID-19 Has Taken Away the Village: How New Parents Can Cope
REAL,How COVID-19 Is Making Daily Life Challenging for Those with Autism
REAL,How Alcohol Can Affect Your Immune System
REAL,What It?s Like to Be a Nurse Working on the Front Lines of COVID-19
REAL,What We Know About the Long-Term Effects of COVID-19
REAL,Can the U.S. Safely ?Reopen? on May 1? Here?s What the Health Experts Think
REAL,People Hospitalized with COVID-19 Now Facing the Risk of Kidney Damage
