index,category,text
5000,REAL,Are you ready for the big-ish reopening Monday? What’s the first thing you’re going to do that you’ve been prohibited from doing under #StayHomeKC #StayAtHome orders? #COVID19 #coronaviruskc #CovidKC
5001,REAL,"No, Face #Masks Can’t Cause CO2 Poisoning - #mask #coronavirus #covid19 #masks4all  https://t.co/Q9JLvwAxa4"
5002,REAL,"Texas a COVID Hotspot as State Reopens #ozfeed #medicine Texas, one of the first states https://t.co/xw79Ztxrvg"
5003,REAL,"Emerging viral diseases causing serious issues in west Africa: Viruses causing illnesses, including adverse birth outcomes and death https://t.co/FmZnzl3WKx"
5004,REAL,@CarmineSabia Xenophobic too. Joe.
5005,REAL,"Are younger people equally at risk of coronavirus complications? How long does the virus survive on surfaces like delivery packages? Get answers to these questions, and more. https://t.co/c6XNJOHw8E from @WebMD https://t.co/c6XNJOHw8E"
5006,REAL,@ManeeshJuneja @allyc375 thanks Maneesh!
5007,REAL,"Potential therapeutic agents, #vaccines for COVID-19 https://t.co/JnGjK8v67c"
5008,REAL,"ARE ANTIBIOTICS EFFECTIVE IN TREATING THE COVID-19?
ARE THERE ANY MEDICINES OR THERAPIES THAT CAN PREVENT OR CURE COVID-19?
IS THERE A VACCINE, DRUG OR TREATMENT FOR COVID-19?
#coronavirushr #coronavirusupdates #coronavirus2020 #covid2019 #covid19outbreak #covid19update https://t.co/wM6gnLwg5Q"
5009,REAL,(2020/04/02) Antibodies in the blood of COVID-19 survivors know how to beat coronavirus – and researchers are already testing new treatments that harness them https://t.co/wEs0nuWKO8
5010,REAL,Researchers identify potential coronavirus vaccine and therapy targets https://t.co/uv1rzVcE2t via @healthline
5011,REAL,@ABC7 About time!
5012,REAL,@ScienceNews @Dangerussmind Wow 😳
5013,REAL,Birx: Social Distancing Will Last Through Summer
5014,REAL,"100 American Airlines flight attendants have been diagnosed with COVID-19, union says https://t.co/pdWO2iutq6"
5015,REAL,"How does COVID-19 spread?

People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with… https://t.co/zFPkhW3z7Q"
5016,REAL,@CNN 好消息，可以大量節約
5017,REAL,@SallyLawry @slsandpet How many dead &amp; injured people will be enough for you @GladysB #covidnsw
5018,REAL,13. Cold weather and snow CANNOT kill the new coronavirus. https://t.co/7yeQQ6gLNo
5019,FAKE,"@GavrielShaw The most serious truths cannot be spoken in Sweden, only the minor ones."
5020,REAL,"@ChrisBraddock7 @gtpwoody ok, let’s say it is as deadly as the flu. this is more contagious. so now we have twice as many “flu” infections in the hospital for those that need it. i know, a majority survive. but what about the hospital bill? i mean, "
5021,REAL,@AngusRobertson @edinburghpaper A thank you to journalists! If they are all of the standard of the ones that question the FM at her daily brief don't think they deserve thanks.
5022,REAL,"-You should not reiterate your statistics, instead, clearly describe your findings. For instance, you might state “There was a statistical significance between pretest and posttest scores.”"
5023,REAL,You don’t need to be a master tailor or even know how to thread a needle to make your own Covid-19 mask. You can make a simple face covering with an old cotton t-shirt and a pair of scissors https://t.co/0FalfH8Sp3
5024,REAL,"Does the new coronavirus only affect older people?

Younger people also susceptible - people of all ages can be infected. https://t.co/EJqHFystKE"
