,index,tweet_id,tweet_content
0,100166,1278419860196921347,"Q: Can people wear masks while exercising? 
A: People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

#COVID19 #coronavirus #KnowTheFacts

https://t.co/CRyTKlHrVe"
1,100166,1278419547146596352,"Q: Can people wear masks while exercising? 
A: People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

#COVID19 #coronavirus #KnowTheFacts https://t.co/AfKqaL64th"
3,100166,1278264430980022277,People should Not wear #Masks while exercising... #Who @WHO https://t.co/9fUdBkCktd
4,100166,1278262917360693248,"Q: Can people wear masks while exercising? 
A: People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

More ➡️ https://t.co/TdKoGmWrIr

#COVID19 #coronavirus #KnowTheFacts https://t.co/vDtg0khRzY"
5,100166,1278099968830648325,"Can people wear masks while exercising? 

People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

Sweat can make the mask become wet more quickly which makes it difficult to breathe and promotes the growth of microorganisms. https://t.co/smvhzNKuLL"
6,100166,1277470471877885952,"Can people wear masks while Exercising?

People should not wear masks when exercising as masks may reduce the ability to breath comfortably. 

#Covid_19 #COVID #virus #VirusCorona #ecoworkx #ExerciseAtHome #WearMask #mask https://t.co/ANmFAPY2JL"
7,100166,1277410375810445312,"Still confused if it is okay to wear mask while exercising? Here is what the World Health Organization says.

People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably. It is better to maintain physical distancing

#iLoveLaUnion https://t.co/QrXOsfLYaS"
9,100166,1276328313443586048,"Masks should not be required while exercising and in gyms as @GovSisolak has mandated.  The @WHO published this recommendation on June 16, 2020 that people should NOT wear masks while exercising.  #Nevada #COVID #GymRats #FaceCoverings https://t.co/9mISqCILGn"
10,100166,1276228746144632838,"Can people wear masks while exercising during #COVID19?⠀
⠀
People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.⠀
⠀
#coronavirus #knowthefacts https://t.co/BFTN8hmef8"
11,100166,1275259326983106560,"Can people wear masks while exercising during COVID-19?

People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

#Zydus
#Covid19
#Beinformed https://t.co/9lmGtRoWQD"
12,100166,1275247172812972032,"Can people wear a mask while exercising?

People should not wear a mask when exercising as masks may reduce the ability to breathe comfortably. Sweat can make the mask become wet more quickly which makes it more difficult to breathe and promotes the growth or microorganisms"
