,news_id,tweet_id,reply_id,tweet_content
0,100338,1297962523413614593,1297964594602942465,@UsForThemScotl1 @ChristineBrett8 @simondolan @BritainFree @Vicster82 @RealDeniseWelch @DrWaqarRashid1
1,100338,1297962523413614593,1297963791544721408,@Unlocked_UK_ @Fox_Claire Child Abuse !
3,100338,1297962523413614593,1298280220873695233,@charlotteren5 @Unlocked_UK_ When people get the answer they want 😆 (don’t think that will ever happen...)
4,100338,1297962523413614593,1297964483961335808,@Unlocked_UK_ @Fox_Claire The question should not even be considered.
5,100338,1297962523413614593,1297965404153950208,@Unlocked_UK_ @Fox_Claire Having had 3 daughters go through the education system I am so pleased that teachers have now stopped the spread of nits.
6,100338,1297962523413614593,1297968085991862273,"@Unlocked_UK_ @SandraWors3 https://t.co/6CNittKVZl

Need to get on this YOUGOV poll ASAP..  29% NO.. was 72% this afternoon.. its been flipped.."
7,100338,1297962523413614593,1297972902076260352,@Unlocked_UK_ @SCJohnston You know it’s coming when STV pretends they just had a little story- meanwhile Nicola ready to spring out with the new rule.
11,100338,1297962523413614593,1297996125887172609,"@Unlocked_UK_ @Fox_Claire Yes, because it will give us useful data here in the u.k. To help get our kids back into school😣"
13,100338,1297962523413614593,1298008102122532864,"@Unlocked_UK_ @Cuchie_cue No. Unless they are 83.
https://t.co/iVIOSBG0Eq"
14,100338,1297962523413614593,1298015416481206275,@Unlocked_UK_ @Charlotte3003G Cut off oxygen to their brains when they're ostensibly supposed to be strengthening them... seems obvious...but its covid 1984. Things dont have to make sense anymore
16,100338,1297962523413614593,1298021588391124992,@Unlocked_UK_ @Fox_Claire What do experts say ?
17,100338,1297962523413614593,1298057389929828353,@Unlocked_UK_ @MadyWaterer never in a hundred years
19,100338,1297962523413614593,1298147935709011968,@Unlocked_UK_ @MartinDaubney Does Unlocked do nuance?
21,100338,1297962523413614593,1298149737682608128,@Unlocked_UK_ @MartinDaubney No one should have to wear one. Should be a matter of choice.
23,100338,1297962523413614593,1298021588391124992,@Unlocked_UK_ @Fox_Claire What do experts say ?
24,100338,1297962523413614593,1298057389929828353,@Unlocked_UK_ @MadyWaterer never in a hundred years
26,100338,1297962523413614593,1298147935709011968,@Unlocked_UK_ @MartinDaubney Does Unlocked do nuance?
28,100338,1297962523413614593,1298149737682608128,@Unlocked_UK_ @MartinDaubney No one should have to wear one. Should be a matter of choice.
29,100338,1297962523413614593,1298151063216951296,@Unlocked_UK_ @MartinDaubney Mask them up walk them with a placard and end union interference with our children's education once and for all. Kids should not be used as political pawns.
31,100338,1297962523413614593,1298169899530027008,@Unlocked_UK_ @MartinDaubney Echo chamber poll...
32,100338,1297962523413614593,1298211045140574208,"@Unlocked_UK_ @MartinDaubney No, they should take the option to homeschool and follow the @PatAlternative curriculum"
34,100338,1297962523413614593,1297966961855533058,@Unlocked_UK_ @LeProfMoriarty STOP ASKING THIS CRETINOUS QUESTION! LEAVE OUR KIDS ALONE
35,100338,1297962523413614593,1297968672137515010,"@Unlocked_UK_ @Fox_Claire If this happens, the long term psychological impact on children will be massive! Ie: you’ll be raising a generation prone to OCD, health and cleanliness complexes, and anxiety triggered by illness."
36,100338,1297962523413614593,1298003310578929665,@Unlocked_UK_ It’s child abuse. And the woke perverts are getting off on this control. Sturgeon is one.
37,100338,1297962523413614593,1298003798187745287,@Unlocked_UK_ There’s no virus. There’s nobody wanting to be injected with media invested vaccines for Gates either. Who is paying presenters high salaries to f*ck a nation. 👈
39,100338,1297962523413614593,1298028150241275908,@Unlocked_UK_ Only Paedophiles voting yes ..
41,100338,1297962523413614593,1298164562995355649,@Unlocked_UK_ @MartinDaubney https://t.co/jvvMqgrafN https://t.co/mfjKdb7bmo
43,100338,1297962523413614593,1297968672137515010,"@Unlocked_UK_ @Fox_Claire If this happens, the long term psychological impact on children will be massive! Ie: you’ll be raising a generation prone to OCD, health and cleanliness complexes, and anxiety triggered by illness."
44,100338,1297962523413614593,1298003310578929665,@Unlocked_UK_ It’s child abuse. And the woke perverts are getting off on this control. Sturgeon is one.
45,100338,1297962523413614593,1298003798187745287,@Unlocked_UK_ There’s no virus. There’s nobody wanting to be injected with media invested vaccines for Gates either. Who is paying presenters high salaries to f*ck a nation. 👈
47,100338,1297962523413614593,1298028150241275908,@Unlocked_UK_ Only Paedophiles voting yes ..
49,100338,1297962523413614593,1298164562995355649,@Unlocked_UK_ @MartinDaubney https://t.co/jvvMqgrafN https://t.co/mfjKdb7bmo
52,100338,1297962523413614593,1297968672137515010,"@Unlocked_UK_ @Fox_Claire If this happens, the long term psychological impact on children will be massive! Ie: you’ll be raising a generation prone to OCD, health and cleanliness complexes, and anxiety triggered by illness."
53,100338,1297962523413614593,1298164562995355649,@Unlocked_UK_ @MartinDaubney https://t.co/jvvMqgrafN https://t.co/mfjKdb7bmo
56,100338,1297962523413614593,1298196104564092931,@Unlocked_UK_ @MartinDaubney They should have to wear a mask walking to their next class or in halls etc. inside the classroom..no
60,100338,1300401882066825217,1300419204278038529,@thatsmanderley @BorisJohnson This has gone beyond a joke.
61,100338,1300401882066825217,1300429445963096065,"@thatsmanderley @allisonpearson @BorisJohnson Firstly, schools have ZERO authority to tell you what to do outside of school premises/hours... secondly, ALL parents from these schools need to get together as a collective &amp; remove the kids from school temporarily until this is revoked! Its appalling on every level!!"
