,index,tweet_id,tweet_content
1,891,1300187087421886464,"Is this true??

The #CDC quietly updated the #Covid number to admit that only 6% of all the 153,504 deaths recorded actually died from #COVID-19 .  

153,504 x .06  = 9,210 deaths.  

Is this #True?!?"
2,900,1296588646552932352,"Hydroxychloroquine is why Uganda, with a population of 43M, has only 15 COVID-19 deaths"
6,912,1293055689078853632,I am a board certified internist with sub specialist training in hematology and oncology. I am a Yale University graduate. I am asking for you to sign a petition to promote early usage of hydroxychloroquine and zinc with azithromycin to cure COVID-19.
7,912,1291139259529744384,"July 31 at 8:40 AM
Your post didn't follow our Community Standards
Bill Zimmer
July 30 at 12:58 PM ·
Shared with Public

The cure for COVID-19: Hydroxychloroquine, Zinc,
Azithromycin, and a Presidential election
30 days in FB jail for this post!"
8,912,1288959325981966337,"Hydroxychloroquine, Zinc, and Azithromycin are the cure for Covid-19.
More cures include:
Vitamin C
Quercitin, &amp; Zinc.
As well as ozonated saline chased with IVC &amp; Glutathione
Thank you Dr. Suzanne Humphries for this information."
9,912,1288695178237272065,"Masks may not help completely but they can slow the spread for COVID-19 and should be worn. According to many physicians, hydroxychloroquine is not the cure, however along with the antibiotic azithromycin and zinc with the correct dosage has helped many people recover."
10,912,1288588802349363200,"WOW: Physicians have gathered in Whashington DC to let the American people know there ARE effective treatment options for COVID-19. One physician from Texas says “we have a cure for COVID-19, it’s hydroxychloroquine, azithromycin and zinc.” #WhiteCoatSummit"
12,912,1288346438317948930,"WOW: Physicians have gathered in Washington DC to let the American people know there ARE effective treatment options available for COVID-19.

One physician from Texas says “we have a cure to COVID-19, it’s hydroxychloroquine, azithromycin and zinc.”

#WhiteCoatSummit"
14,912,1288306955220484100,"Hydroxychloroquine 200 mg 2 X day for 5 days. 10 pills $10 copay Zinc sulfate 220 mg once a day for 5 days. 5 pills less than $10 Azithromycin 500 mg once a day for 5 days. 5 pills $10 copay 
cure/prophylactic for COVID-19 = $30
Freedom = priceless It's about power and money!"
17,912,1288069362390315008,"There is a cure for covid-19.the China virus it's called hydroxychloroquine, and zinc in combination with either azithromycin or doxycycline"
18,912,1288052419285274627,#Hydroxychloroquine #zinc #Azithromycin are the cure to covid 19. We don’t need a vaccine. Thousands upon thousands  have been treated with this method and they are all okay. THE FDA IS LYING. FAUCI IS LYING. BILL GATES IS LYING.
19,912,1287928617146765312,"WOW: Physicians have gathered in Washington DC to let the American people know there ARE effective treatment options available for COVID-19.

One physician from Texas says “we have a cure to COVID-19, it’s hydroxychloroquine, azithromycin and zinc.”"
22,912,1287878555414585345,"""One physician from Texas says “we have a cure to COVID-19, it’s hydroxychloroquine, azithromycin and zinc.”
#trumpwasright"
