,index,tweet_id,tweet_content
0,55,1255263076087185413,"Accidents happen.
 
Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended

Posted onApril 11, 2020"
1,55,1254390256461365248,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Amuses https://t.co/M2mICLXotM"
5,55,1251163393790099457,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Amuses https://t.co/M2mICMeZlk"
9,55,1250166483570905088,"🎵🎺 🥁🎤Blue Skies....smiling at me 😎 
                       Nothing but blue skies 
                       Do I see

skyscraper Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/LEgoJW99bt"
15,55,1250142746389540864,"Huh? Is this real? Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/VN8XTEx5Tv"
17,55,1250109734578827264,"I have been warning for weeks, this virus is airborne, spayed to spread.. Now Confirmed. We will see a dramatic drop in outbreaks 

Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended Posted onApril 11, 20200 https://t.co/Aik6470hx3"
21,55,1250021999025565696,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/LH6gaB2sJI
@flowersoul 
#chemtrails #GeoEngineering #weathermodification #COVID2019"
23,55,1250005501347352576,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended

https://t.co/cnmXPaewBw"
24,55,1249812929245044736,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters/ 😳 https://t.co/D6wUhLnNvD"
27,55,1249740658744557569,"Wait what!  I thought chemtrails weren’t real! 😒

Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/2INWAm6eFs"
28,55,1249720763785109504,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/03wO7pW32y"
33,55,1249477334543093766,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended. https://t.co/LSaerQwef4"
34,55,1249439553343172610,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters ⁦@Kabamur_Taygeta⁩ if true this is insanity.  https://t.co/n9BtNEevGR"
35,55,1249418675251113985,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/TNQztgPQf0"
37,55,1249416078410895361,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/MeC1C991lC"
39,55,1249411295377416192,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/6TxuMLvTVV"
40,55,1249410487542001665,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters ⁦@JasonBermas⁩  https://t.co/t7Xi07GjCt"
41,55,1249410299884711936,"@Inevitable_ET Whats happened to this tweet?
pentagon-confirms-coronavirus-accidently-got-into-chemtrail-supply-chain-spraying-is-suspended/"
46,55,1249397211273875462,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended - https://t.co/3zxHUQr09E"
48,55,1249392791219851264,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/NJshRxb2kS"
53,55,1249369470507892736,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters

🤔 https://t.co/1Q8fow3iiC"
55,55,1249367725773746177,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended
Posted onApril 11, 20200   Accidently! https://t.co/xJyxZN6vkU"
61,55,1249234690554331136,"#COVID19 &amp; Chemtrail Fluids

@Pentagon Confirms #coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended

https://t.co/VN8REN8cQt"
62,55,1249211245623783424,"[NEWS] Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended https://t.co/OWJzKlGci3"
64,55,1249178858374533120,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended. https://t.co/plsLSzGGvi"
65,55,1249178669056131073,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/2niiIMWWTG"
67,55,1249172530272899075,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended
Posted onApril 11, 20200
https://t.co/4GBysZdbBT"
68,55,1249155244489129984,"Top story: Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/RPxxzBJyrS, see more https://t.co/TUSqbizhht"
70,55,1249018981186293760,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/dCGLzXb7fA"
71,531,1237903474475622400,People of color may be Immune to the Coronavirus because of Melanin – blackmentravels https://t.co/mlrcYNAeV9
72,531,1234461445020176385,People of color may be Immune to the Coronavirus because of Melanin – blackmentravels https://t.co/NAuaBUrI6G
73,124,1249489006124990471,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/AhNvAirO3c"
76,124,1248596379909402626,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/8Oz7VDazAr"
77,124,1248582228478693377,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/hdexPUZWiT"
82,124,1248318630842040331,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/qTA4FHrzeh"
83,124,1248282037506760704,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/UcakUZ4AUY"
84,124,1248274578683682822,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/suNc7LEzeb"
89,124,1248207920602456064,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes
Excellent article exposing the NWO fraudsters👊✅#COVID19  https://t.co/EGst1YzeuS"
91,124,1248199567562223619,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes                                       #Qanon #WWG1WGA #TheGreatAwakening  https://t.co/evfWHhr9sH"
