,index,tweet_id,tweet_content
0,2665,1299730373748948992,"Despite New Safety Guidelines, Experts Say Movie Theaters Are High-Risk Even with new safety guidelines in place, health experts say going to the movies is very risky during the pandemic.

(Feed generated with FetchRSS)"
1,2670,1298537500152139776,"What to Do When You Clash with Your Kid’s Grandparents About COVID-19 Experts say it's common for family members to have differing opinions about how best to protect kids from the COVID-19 pandemic, but it's best to…

(Feed generated with FetchRSS)"
2,2676,1296982185866604544,"What You Need to Know If You Plan to Fly on an Airplane During COVID-19 CE complete. I changed a couple of instances of ""contract COVID-19."" Thank you!

(Feed generated with FetchRSS)"
3,2681,1296589694780809217,"New COVID-19 Saliva Tests Now Available: Are They the Breakthrough We Need? The new tests can produce results in a matter of hours, allowing people to get treatment sooner if they test positive or return to work if they test…

(Feed generated with FetchRSS)"
4,2686,1296197044839821320,"Psychologist Talks to Healthline About Mental Strain of COVID-19 Dr. Timothy Legg spoke at a Healthline town hall today on the COVID-19 pandemic. The town hall also featured Dr. Anthony Fauci, director of the…

(Feed generated with FetchRSS)"
5,2696,1294173774816976896,"A Physician on the Front Lines Talks About Treating Patients and Getting COVID-19 For months, Dr. Raj Dasgupta has been treating patients as a pulmonary critical care physician at Keck Medicine of the University of Southern…

(Feed generated with FetchRSS)"
6,2705,1293388582024024069,"How Schools Can Easily Become ‘Superspreaders’ of COVID-19 Experts say schools need to implement safety precautions such as mask wearing and staggered class schedules to reduce the risk of COVID-19 spread.

(Feed generated with FetchRSS)"
7,2710,1292241021867307008,"For Homemade Face Masks, 3 Layers Are Better Than 1 New research finds although the CDC recommends even a single-layer cloth mask as protection, two or three layers are best.

(Feed generated with FetchRSS)"
8,2712,1291833359673556992,"There’s More Evidence That Black Americans Face High Risks from COVID-19 Gaps in healthcare make it harder for many Black Americans to manage chronic health conditions that may contribute to poor outcomes from COVID-19.

(Feed generated with FetchRSS)"
9,2716,1291425649215905795,"Do You Need to Wear Goggles to Stay Safe from COVID-19? New research shows that we could take it a step further by making sure our eyes are covered with protective goggles or a face shield.

(Feed generated with FetchRSS)"
10,2726,1290640502375710727,"How Pooled Testing Can Help Us Fight Spread of COVID-19 Testing is necessary to reopen the economy and schools — however it’s almost impossible to do this using conventional testing methods.nnnnThe FDA has…

(Feed generated with FetchRSS)"
11,2731,1290232780161310721,"COVID-19 Damaged Heart of Elite Athlete: What Does That Mean for the Rest of Us? Boston Red Sox pitcher Eduardo Rodriguez has been benched for a least a week after being diagnosed with inflammation of the heart muscle, possibly…

(Feed generated with FetchRSS)"
12,2734,1289432542983012353,"How and When Children Should Return to Sports During COVID-19 Experts say small group practices and clean common areas should be among the guidelines before children return to the playing field.

(Feed generated with FetchRSS)"
