,index,tweet_id,tweet_content
0,1558,1278459263720009736,My latest for @Healthline:  'Experts Confident Biden’s COVID-19 Response Could Speed Recovery' https://t.co/2cLIDKTrsh #COVID19 #election2020
1,1558,1278390989032435713,Experts Confident Biden's COVID-19 Response Could Speed Recovery https://t.co/gUOQDwSaaA via @healthline
2,1558,1278368893246091264,Published a new blog entry Experts Confident Biden’s COVID-19 Response Could Speed Recovery in https://t.co/y4htqvqgOE. https://t.co/Tb9nMC5Vci
3,1558,1277714217186013188,"Experts are confident Biden’s COVID-19 response could speed recovery.   “It is time to wake up America. The White House has been in denial on coronavirus from the get-go and the federal response has just been wrong,"" said Gov. Cuomo. #TrumpCovidFail #FailedAmerica https://t.co/ji2Lt53Z6W"
4,1558,1277189612218339328,Experts Confident Biden’s COVID-19 Response Could Speed Recovery https://t.co/gPBgvegIOb
5,1558,1277005603538448388,"Experts Confident Biden’s COVID-19 Response Could Speed Recovery Medical experts say they believe Biden’s plan to address COVID-19 would emphasize a better future for how to handle the continued threat of the…

(Feed generated with FetchRSS)"
6,1558,1276893270669496321,Experts Confident Biden’s COVID-19 Response Could Speed Recovery https://t.co/4mEUn9SBBW
7,1558,1276683217727131648,Experts Confident Biden's COVID-19 Response Could Speed Recovery https://t.co/YC0CVfEuGo
8,1558,1276682912893677573,"Experts Confident Biden's COVID-19 Response Could Speed Recovery

https://t.co/2aeESwBZuX"
9,1558,1276682514216689664,"Experts Confident Biden's COVID-19 Response Could Speed Recovery.

https://t.co/FEDTjfDc9e"
10,1558,1276663155129749504,"Experts Confident Biden's COVID-19 Response Could Speed Recovery

https://t.co/xMcYaNlhtQ"
11,1558,1276661813158035457,Experts Confident Biden’s COVID-19 Response Could Speed Recovery https://t.co/Y5E5ZXQ2IM
12,1559,1276220399647408133,"Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19 Scientists around the world are working on a number of vaccines and treatments for COVID-19.

(Feed generated with FetchRSS)"
13,1559,1276198439261474818,"Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19

https://t.co/9iUYMWXtO1 https://t.co/x8O6Qwot5V"
14,1559,1271661705001603072,Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19 https://t.co/Z6opBM0gVM
15,1559,1271117705710637057,Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19 https://t.co/BXeO3mOysR https://t.co/nG8Gxofz5s
16,1559,1270476135940358144,Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19 https://t.co/avAtHdn821 https://t.co/DVD26tLrKd
17,1559,1270429239905574912,Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19 https://t.co/r97613B8Jm https://t.co/AGMJzYRoXI
18,1559,1270386450668847110,Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19 https://t.co/5A8rvXwW5u https://t.co/t6W6DKstmn
21,1559,1266131963254988802,"Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19

https://t.co/UqaMlh6EiQ"
22,1559,1265484686568103936,"Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19 Scientists around the world are working on a number of vaccines and treatments for COVID-19.

(Feed generated with FetchRSS)"
23,1559,1261331003332853763,"Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19
---&gt; https://t.co/t2hTGoDGLO https://t.co/ViBS3UafQy"
24,1559,1259413032750313476,"Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19 https://t.co/hC5nRFJ9h9
#VolunteersAgainstCOVID19 #COVID19 #coronavirus #coronanews #coronaviruscure #coronavaccine #covid19treatment #healthline #coronaupdates"
25,1559,1259060723944210433,Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19 https://t.co/PaBY0CoxbR
26,1559,1258456066607779844,"Scientists around the world are working on potential #treatments and #vaccines for the new #coronavirus disease known as COVID-19. Here’s exactly where we are with vaccines and treatments for COVID-19: https://t.co/jxZEZI3EUH

#EmergeOneMedical https://t.co/lWvJcPgXOp"
27,1559,1257726767126786051,Here’s exactly where we are with #vaccines and treatments for #COVID-19 https://t.co/YkylEmqGhb
28,1559,1257694119247384578,"Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19 #AskADoctor #Healthcaremagic #Dailyhealthtips

https://t.co/sAyYbdsL89"
29,1560,1278311563804450818,"New Study Details the Best Types of COVID-19 Face Masks

https://t.co/XWEaKezWvA"
31,1561,1276236250870136834,"States Are Learning What Happens to COVID-19 Cases If You Reopen Too Early. Read more: https://t.co/YFH9gSSXH8 #healthy #wellness #healthyliving #preventativemedicine #familycareclinic #health #primarycare #businesshealthinsurance
#medicalclinic #healthylife #evolve https://t.co/WwdwHUvqlD"
32,1561,1271243407390904320,"@realDonaldTrump @RepChipRoy Some States Are Learning What Happens to COVID-19 Cases If You Reopen Too Early @Healthline
https://t.co/KQpfc1SPKP"
33,1561,1266784820023066625,Some States Are Learning What Happens to COVID-19 Cases If You Reopen Too Early https://t.co/8c1zGwqGiw
36,1561,1266718698372337664,Some States Are Learning What Happens to COVID-19 Cases If You Reopen Too Early #SmartNews  https://t.co/zZrfruHZvc
38,1561,1266712478609747968,Some States Are Learning What Happens to COVID-19 Cases If You Reopen Too Early #SmartNews  https://t.co/aRRJD2PQ2g
39,1561,1266695756691333120,Some States Are Learning What Happens to COVID-19 Cases If You Reopen Too Early https://t.co/pQgBWB2lg6 #SmartNews
40,1561,1266647349763477504,"Some States Are Learning What Happens to COVID-19 Cases If You Reopen Too Early At least 14 states are reporting an increase in confirmed COVID-19 cases. Experts say whether people follow guidelines such as physical distancing and…

(Feed generated with FetchRSS)"
42,1562,1278277580353703936,"What to Know About Potential COVID-19 Treatment Remdesivir — Moderate Benefits, High Price Tag https://t.co/tn5TO2Y7bz"
43,1562,1268951591551471620,What to Know About Potential COVID-19 Treatment Remdesivir https://t.co/v8TZAKGxWO
44,1562,1267794960297922561,"What to Know About Potential COVID-19 Treatment Remdesivir Remdesivir, a drug that once offered hope against Ebola, is now in the spotlight as the only current effective medication for COVID-19. But experts…

(Feed generated with FetchRSS)"
45,1562,1267679017773289472,What Healthcare Workers Need To Know About Potential COVID-19 Treatment Remdesivir https://t.co/ROoUM3ZxYG
46,1562,1256551283462475778,what you should know about Remdesivir: the only reason why we might’ve found a treatment to Covid-19 is because the EXPENSIVE studies that were being carried out were funded by the federal government. Meaning our TAXPAYER MONEY is why we have a potential solution. #Remdesivir
47,1563,1277972313539919876,Fighting Family Burnout During the COVID-19 Crisis https://t.co/oxiOlyU6y7
48,1563,1277821028186689536,"Fighting Family Burnout During the COVID-19 Crisis After months of stay-at-home orders, family burnout is becoming an additional challenge in some households. But medical experts say there are steps…

(Feed generated with FetchRSS)"
50,1563,1267818255663591426,Fighting Family Burnout During the COVID-19 Crisis  https://t.co/J9AY4jGRdJ
51,1563,1267273932966703104,Fighting Family Burnout During the COVID-19 Crisis | McLean Hospital https://t.co/cjpQ9IIjW4
52,1564,1277821026315964416,"Travel Bans, Quarantines Don’t Stop COVID-19 Spread, but They Can Delay It Experts say travel restrictions implemented by states are more difficult to enforce than limits placed on travelers from other countries.

(Feed generated with FetchRSS)"
53,1565,1277764817051365376,Learn to Spot Fake Health News with These 5 Tips https://t.co/PNeSvWCteR via @healthline
54,1565,1277740757034635266,Learn to Spot Fake Health News with These 5 Tips https://t.co/4S4uUYwyYB via @healthline
55,1565,1277647169051258880,Learn to Spot Fake Health News with These 5 Tips https://t.co/urU8bb9CIY
56,1565,1277607796058599425,Learn to Spot Fake Health News with These 5 Tips https://t.co/orZQFZM670
57,1565,1277441152677892096,Learn to Spot Fake Health News with These 5 Tips https://t.co/c6ztUv5dDR via @Healthline great to see @firstdraftnews work here
58,1565,1277398257254178818,"Learn to Spot Fake Health News with These 5 Tips So how can people discern fact from fiction online? A new study finds that a relatively small fact-check sheet can help people detect fake headlines.

(Feed generated with FetchRSS)"
59,1565,1277338523318849536,"Learn to Spot Fake Health News with These 5 Tips: https://t.co/Gx7UJUOuhr #healthy #wellness #healthyliving #preventativemedicine #familycareclinic #health #primarycare #businesshealthinsurance
#familyhealthcarefacility #medicalclinic #healthylife #evolve https://t.co/REuYyW3TQK"
60,1565,1277245512400461824,Learn to Spot Fake Health News with These 5 Tips – Healthline https://t.co/TfUkyjDpRO
61,1565,1277239434165940224,Learn to Spot Fake Health News with These 5 Tips #SmartNews  https://t.co/3VLK6Y5AMJ
62,1566,1276938447316451330,"People of Color Face Heightened Risks as COVID-19 Surges Again

https://t.co/efsrzC9Tl2

#publichealth #COVID19 #healthnews https://t.co/7OmfEb8MZl"
