category,text
FAKE,Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What Experts Say https://t.co/fkksABN0L1
FAKE,Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What Experts Say https://t.co/87bBYEoYko
FAKE,Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What Experts Say https://t.co/euWO9Xkuwm
FAKE,Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? H...https://t.co/oX9gnkRu3v
FAKE,Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What Experts Say https://t.co/jWbvnNwI8K
FAKE,Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? https://t.co/rmpYgZeBtX
FAKE,Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? H...https://t.co/KCm0eQY2cA
FAKE,Can you catch #coronavirus in a swimming pool? Latest Government advice https://t.co/G0j5xrCFQk https://t.co/omyALfSl6w
FAKE,Can you catch #coronavirus in a swimming pool? Latest Government advice https://t.co/G0j5xrCFQk https://t.co/VErH4QooVl
FAKE,Can you catch #coronavirus in a swimming pool? Latest Government advice https://t.co/G0j5xrl4YM https://t.co/JvCsazk4dR
FAKE,Can you catch #coronavirus in a swimming pool? Latest Government advice https://t.co/G0j5xrCFQk https://t.co/97pJNtr1CH
FAKE,"Have never swim in the sea
https://t.co/wSJKf7f25x

Can you catch the coronavirus from a swimming pool? https://t.co/e4oJw8JsVq via @nypost"
FAKE,Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What Experts Say - https://t.co/15xJ2eblmL https://t.co/9wiQDrq1ub
FAKE,Can you catch the coronavirus from a swimming pool? https://t.co/ZtnL0MAJEH via @nypost CDC has been wrong since the virus started. Open space ocean and pools will be fine to be in. Remember the models were way off base
FAKE,Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What Experts Say https://t.co/OgIFy8R3lz
FAKE,Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? H...https://t.co/mdsqrhSvjc
FAKE,"Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What Experts Say
https://t.co/e5z96YOIzw"
FAKE,Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What Experts Say | https://t.co/UTdcwp3J1r quotes @AmeshAA  https://t.co/ja7MiixutZ
FAKE,Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What https://t.co/Cm6g2nrSoi via @Yahoo
FAKE,Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What Experts Say - https://t.co/15xJ2eblmL https://t.co/9wiQDrq1ub
FAKE,Can You Catch Coronavirus in a Swimming Pool—and Does Chlorine Kill the Virus? Here's What Experts Say https://t.co/XswVsgn8hK
FAKE,"@beverleyhb57 @janis_garbutt Can you catch coronavirus in swimming pools or sea water ...
https://t.co/Hy98iq1bOl"
FAKE,"Can you catch coronavirus in swimming pools or sea water? Spain in rush to find out ahead of welcoming tourists back
 https://t.co/rXJ8rS3qcJ
#Holocaustmemorialday #MLK #GrenfellTower"
FAKE,Can you catch coronavirus in swimming pools or sea water? Spain in rush to find out ahead of welcoming tourists back https://t.co/44NA8IrSRO
FAKE,Can you catch coronavirus in swimming pools or sea water? Spain in rush to find out ahead of welcoming tourists back https://t.co/6iihpstnb5
