category,text
REAL,"Q: Can people wear masks while exercising? 
A: People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

#COVID19 #coronavirus #KnowTheFacts

https://t.co/CRyTKlHrVe"
REAL,"Q: Can people wear masks while exercising? 
A: People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

#COVID19 #coronavirus #KnowTheFacts https://t.co/AfKqaL64th"
REAL,People should Not wear #Masks while exercising... #Who @WHO https://t.co/9fUdBkCktd
REAL,"Q: Can people wear masks while exercising? 
A: People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

More ➡️ https://t.co/TdKoGmWrIr

#COVID19 #coronavirus #KnowTheFacts https://t.co/vDtg0khRzY"
REAL,"Can people wear masks while exercising? 

People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

Sweat can make the mask become wet more quickly which makes it difficult to breathe and promotes the growth of microorganisms. https://t.co/smvhzNKuLL"
REAL,"Can people wear masks while Exercising?

People should not wear masks when exercising as masks may reduce the ability to breath comfortably. 

#Covid_19 #COVID #virus #VirusCorona #ecoworkx #ExerciseAtHome #WearMask #mask https://t.co/ANmFAPY2JL"
REAL,"Still confused if it is okay to wear mask while exercising? Here is what the World Health Organization says.

People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably. It is better to maintain physical distancing

#iLoveLaUnion https://t.co/QrXOsfLYaS"
REAL,"Masks should not be required while exercising and in gyms as @GovSisolak has mandated.  The @WHO published this recommendation on June 16, 2020 that people should NOT wear masks while exercising.  #Nevada #COVID #GymRats #FaceCoverings https://t.co/9mISqCILGn"
REAL,"Can people wear masks while exercising during #COVID19?⠀
⠀
People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.⠀
⠀
#coronavirus #knowthefacts https://t.co/BFTN8hmef8"
REAL,"Can people wear masks while exercising during COVID-19?

People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.

#Zydus
#Covid19
#Beinformed https://t.co/9lmGtRoWQD"
REAL,"Can people wear a mask while exercising?

People should not wear a mask when exercising as masks may reduce the ability to breathe comfortably. Sweat can make the mask become wet more quickly which makes it more difficult to breathe and promotes the growth or microorganisms"
REAL,"Can people wear masks while exercising? They CAN but they SHOULD NOT.

The WHO says ""Sweat can make the mask become wet more quickly which makes it difficult to breathe and promotes the growth of microorganisms."" Read more here: https://t.co/5Cv1p8Bz9m

#MedicalMythMonday #Masks https://t.co/BZ37gfpokl"
REAL,"Can people wear masks while exercising during #COVID19?
People should NOT wear masks when exercising as masks may reduce the ability to breathe comfortably.
.
#facemask #sanitizer #clean #COVID19 #CoronaVirusUpdate #Coronavirus #corona #lockdown #Pandemics #QuarentineLife https://t.co/fbuDgvPNVA"
REAL,"Can people wear masks while exercising?
People should NOT wear masks when exercising as sweat may reduce the ability to breathe comfortably. https://t.co/NSgSk21hey"
REAL,"Can people wear masks while exercising?
People should NOT wear masks when exercising as sweat may reduce the ability to breathe comfortably. https://t.co/kSIyTZ4lvS
#healthtips 
#coronavirus 
Report: @WHO 
@IPR_Odisha 
@HFWOdisha 
#facemask https://t.co/fxnzTarT3i"
