category,text
REAL,It’s worthwhile noting that even with their updated advice (14 April) WHO do not always consider football matches held in large cities as mass gathering events. 1/2
REAL,"Before history is rewritten, it ought to be remembered sporting events were not cancelled because they were considered as high risk in terms of amplifying disease. They were cancelled to take pressure off emergency services."
REAL,"@Cordobesa2201 @AngelaLuna80 @sanidadgob Vergonzoso e inadmisible. 

Y tú del video y del documento? https://t.co/m5vOazAQAo"
REAL,@Cordobesa2201 @AngelaLuna80 @sanidadgob Será que Iker Jiménez es un privilegiado de la información...
REAL,"@Cordobesa2201 @Rumpelstinski6 @sanidadgob MINISTERIO DE SANIDAD
Centro de Coordinación de Alertas y Emergencias Sanitarias
Neumonía atípica en China. Nota informativa. Antecedentes del evento y situación actual . Diponible en su web para ciudadanos, "
REAL,@Cordobesa2201 @Rumpelstinski6 @sanidadgob Que no se ha escondido ninguna información.
REAL,"Asking people to stay at home and shutting down population movement is buying time and reducing the pressure on health systems.
But on their own, these measures will not extinguish epidemics."
REAL,"· 9 mar. 2020
 📰 La Comunidad de Madrid aprueba medidas extraordinarias por el coronavirus https://t.co/bRDgSX27cL"
REAL,-WHO continues to advise against the application of travel or trade restrictions to countries experiencing COVID-19 outbreaks.
REAL,"“En una epidemia no hay culpables, todos somos víctimas”."
REAL,@deray Kentuckian here --- I hear they get drunk and cough on each other. Wish I were kidding.
REAL,@deray I assume it’s like a chicken pox party where people purposely try to get it?
REAL,"@JMwalker1982 @deray yeah, chicken pox party was what i immediately thought of (having attended one as a young tot)"
REAL,@deray The @GOP.
REAL,@RonWaxman @deray @GOP Underrated tweet
REAL,"@deray Bro, you gotta understand we had an insane person as gov for four years before Andy. He suggested ""chicken pox parties"" as a legit plan in lieu of vaccinating. 
We're sorry and we're trying."
REAL,"@deray Like chicken pox parties- when one kid gets chicken pox, everyone goes to their house so they get it over with. 😳"
REAL,@deray It sure isn’t a Mensa meeting.
REAL,"@deray M4A just might be possible...because with these shenanigans going on, there will be a lot less people in the future drawing off the fund."
REAL,@deray well sounds like the party was a success then.
REAL,@deray A party we’re ppl get corona 😒
REAL,"@deray Natural selection, baby!"
REAL,"@deray Hmmm. Well, let's see. Walmart announced an employee in Kentucky store tested positive. So, I'm going with, answer: ""A shopping trip to a Walmart?"""
REAL,@deray My mom made me get chicken pox on purpose when I was a kid #chickenpoxparty
REAL,@deray It's like a plague party https://t.co/BHERWGG6VN
REAL,@deray Neonazis were doing something similar to spread it- this is probably unrelated
REAL,@deray A party where everyone gets coronavirus
REAL,@deray It’s Kentucky.....
REAL,@deray Kentucky was doing so well until this mess.
REAL,@deray Maybe he was just hoping for the paid time off...
REAL,@deray They gather together to deliberately spread the disease amongst themselves. https://t.co/RdPj3bOto0
REAL,@deray The same $hi+ as measles party?!
REAL,"@deray A soiree whereupon the guest ""coronavirus"" has been cordially invited to attend"
REAL,@deray Is it like a Darwin Award? 👀
REAL,@deray https://t.co/3OrJEKa07n
REAL,"@deray You know how before they had vax for chicken pox parents would intentionally get their kids together to have ""pox parties"" and infect their kids and get it over with before it would get serious if they caught it?  That, only with COVID-19."
REAL,@deray its a natural selection party
REAL,@deray A bad Friday night
REAL,@deray A MAGA rally
REAL,@deray Florida Man has competition
REAL,@deray I'm answering for the red side of the aisle right here but I think it's being held in the basement of some pizza place?
REAL,@deray Omg people are actually doing this?
REAL,@deray It's a bunch of selfish young people getting together to party. These horrible and poorly raised people have no regard for themselves or for the people they may infect. People who throw or attend #coronavirus parties are terrible people!
REAL,@deray you don't wanna know... believe me...
REAL,@deray This is not a joke ... Ppl still playing WTF Is a coronavirus party 🤷🏾‍♂️
REAL,"@deray it was a success, i guess"
REAL,@deray I'm sure it's like a hurricane party - and those rarely end well.
REAL,@deray @RemainResistant The GOP?
REAL,"@deray Growing up my dad’s mom would try to take him to a friends house who had the measles or chicken pox.

Apparently we have learned nothing in the intervening 60 years."
REAL,@deray think adult chickenpox party but chickenpox is wicked when adults get it so 🤷‍♀️
REAL,@deray Yt ppl shit
REAL,@deray It's the official policy of the USA and the UK to deal with SARS-CoV-2.
REAL,"@deray There ain’t no party like a Coronavirus party
Bc Coronavirus party don’t stop"
REAL,"@deray A Trump ""briefing"". https://t.co/9XzUZQ6JBS"
REAL,@deray My parents sent me to a chicken pox party to make sure I got it younger.
REAL,"@deray Must be similar to Halloween- except Trump gives shot glasses of Hydroxychlorquinine just to see if it makes a Zombie. Guests: Teddy Kruger, Skeletons, Trump standing at a podium introducing the Easter Bunny &amp; The Golden Egg,"
REAL,"@deray This has a very ""What is Depiglio?"" cadence."
REAL,"@deray This is dumb for obvious reasons but also, we dont actually know if we will be immune to it in the long run or for how long that immunity last. With chickenpox we know"
REAL,"@Pinkykiss @deray And even with the chicken pox we've learned that, decades later, it re-emerges as shingles."
REAL,@deray For some insane reason 20 somethings want to expose himself to COVID-19. Similar to chickenpox party... you catch it &amp; get better &amp; don’t get it again. Nothing has proven you can’t get covid19 twice &amp; there’s no vaccine so this is
REAL,@deray like a chicken pox party. people who think the disease won't be that serious try to get infected
REAL,@deray Ha...a party during the coronavirus! Dumbasses. They should hit up #clubquarentine. No way to get it there! Lol
REAL,@deray a place where all the know it alls and nutcases party
REAL,@deray Suicide pact.
REAL,@deray &lt;Shakes head slowly in disgust and disbelief...&gt; What kind of party?
REAL,@deray Where idiots get together &amp; show us just how scary this country is.
REAL,"@deray Apparently where stupid people go to get infected, to build their immunity to it,  so they can avoid vaccinations. Hopefully their bodies don't die before they build immunity. 🤷🏿‍♀️ #noimmunity"
REAL,"@deray It’s like an orgy, but sad and you already know everyone is diseased, but you don’t use protection because “it builds your immune system”"
REAL,"@deray how large was the party
what was the percentage
still not small enough number to gather yet"
REAL,"@deray Is it like a chicken pox party, where your mom sends you on a play-date with the kid who has chicken pox, so you definitely get it?"
REAL,@deray The Democratic Party I guess.  https://t.co/KaWRvevbc2
REAL,"@deray if you have to ask, you can't afford it"
REAL,@deray Maybe it's where assholes congregate after they've heard you can get coronavurus from close contact. What i want to know is do they throw their keys into a bowl and swap partners like back in the 70's?...that would make the party a little dangerous
REAL,"@deray The infected round up some elderly folk, give 'em all a cocktail and then breath on 'em."
REAL,@deray It’s a gathering of dangerous morons.
REAL,"@deray Like a chicken pox party, but somehow even more stupid?"
REAL,@deray Chicken pox party for members of a death cult.
REAL,@deray Idiot soup
REAL,"@deray Where you go drink with likeminded idiots who think Coronavirus is fake news, give each the virus"
REAL,@MiamiHerald Hell. no.
REAL,"@MiamiHerald Dr. Shiva broke it down!

Dr.SHIVA LIVE: CITiZEN SCIENCE vs. Scientific Establishment. The Path to Truth Freedom Health.

https://t.co/MzoIohuvj6"
REAL,@MiamiHerald A mark on your head or hand so you can buy and sell
REAL,"@MiamiHerald Is it like a the new yellow star?
Such a slippery slope but we know all the signs."
REAL,@MiamiHerald Nope
REAL,@MiamiHerald Horrible identity
REAL,@MiamiHerald We need to
REAL,@MiamiHerald Certificate of vaccination I D. .........COVID
REAL,@MiamiHerald Big brother is watching you
REAL,@MiamiHerald Another step in the Trump/GOP fascist coup?
REAL,@MiamiHerald @redspicenation Bullshit!!! And hell NO
REAL,@birdgirl1001 Pretty sure it's where #COVIDIDIOTS gather to not social distance to own the libs.🙄
REAL,"@BlondeAnomalies I don’t think it is ok to say mean things like this. These people aren’t stupid, they are misinformed &amp; don’t understand basic public health &amp; disease progression. This makes me sad. I am watching my friends battle this illn"
REAL,@snow_lynx For real? Like you are serious?
REAL,@birdgirl1001 All fun and games until someone is on a ventilator.
REAL,@birdgirl1001 Not sure but it doesn't sound like fun. Kinda like Russian roulette without the gun
REAL,"@birdgirl1001 Right now, 'coronavirus party' is the GOP."
REAL,@birdgirl1001 Like a pox party. You go in hopes of catching it.
REAL,@ThriftyVeganEat You are for real?
REAL,@birdgirl1001 Probably the same thing as a chicken pox party.
REAL,"@birdgirl1001 It's Kentucky. You know exactly what it is. (As a Tennessean, I have absolutely no room to judge - but I do)."
REAL,@birdgirl1001 The aftermath of survivors of chickenpox parties growing up plus Darwinism thrown in to make this the worst dystopian book.
REAL,@birdgirl1001 A wake.
REAL,@birdgirl1001 Chicken pox party?
REAL,@birdgirl1001 Idiots who purposely got together in defiance of no congregating edicts
REAL,@harrison3rd_c Amen🙏🏻
REAL,@MrsSJHanna Amen
REAL,@cassandraharr18 Amen
REAL,@RickPender1 Amen and amen
REAL,@harrison3rd_c @bryanakrasi There's no God like Jehovah!
REAL,@shellbybell @bryanakrasi That's right🙌🏾🙌🏾
REAL,@jpooyv Amen
REAL,"@harrison3rd_c @LaVerne90748971 Certainly, your words are true! Well done, may God bless you."
REAL,@free2chest @LaVerne90748971 Thank you and God bless you as well
REAL,"@harrison3rd_c If I could retweet your tweet more than once, I would. I tried, without success. Our God is the biggest, strongest, most powerful force EVER! My plan to stay healthy is to wash my hands often and praise God just as often. 🙏🕯"
REAL,@MsWrite2 Amen and amen. God bless you
REAL,@harrison3rd_c Amen! 🕯
REAL,@KCStar Contagion was really ahead of its time
