category,text
FAKE,"Accidents happen.
 
Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended

Posted onApril 11, 2020"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Amuses https://t.co/M2mICLXotM"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Amuses https://t.co/M2mICMeZlk"
FAKE,"🎵🎺 🥁🎤Blue Skies....smiling at me 😎 
                       Nothing but blue skies 
                       Do I see

skyscraper Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/LEgoJW99bt"
FAKE,"Huh? Is this real? Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/VN8XTEx5Tv"
FAKE,"I have been warning for weeks, this virus is airborne, spayed to spread.. Now Confirmed. We will see a dramatic drop in outbreaks 

Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended Posted onApril 11, 20200 https://t.co/Aik6470hx3"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/LH6gaB2sJI
@flowersoul 
#chemtrails #GeoEngineering #weathermodification #COVID2019"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended

https://t.co/cnmXPaewBw"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters/ 😳 https://t.co/D6wUhLnNvD"
FAKE,"Wait what!  I thought chemtrails weren’t real! 😒

Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/2INWAm6eFs"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/03wO7pW32y"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended. https://t.co/LSaerQwef4"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters ⁦@Kabamur_Taygeta⁩ if true this is insanity.  https://t.co/n9BtNEevGR"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/TNQztgPQf0"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/MeC1C991lC"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/6TxuMLvTVV"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters ⁦@JasonBermas⁩  https://t.co/t7Xi07GjCt"
FAKE,"@Inevitable_ET Whats happened to this tweet?
pentagon-confirms-coronavirus-accidently-got-into-chemtrail-supply-chain-spraying-is-suspended/"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended - https://t.co/3zxHUQr09E"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/NJshRxb2kS"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters

🤔 https://t.co/1Q8fow3iiC"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended
Posted onApril 11, 20200   Accidently! https://t.co/xJyxZN6vkU"
FAKE,"#COVID19 &amp; Chemtrail Fluids

@Pentagon Confirms #coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended

https://t.co/VN8REN8cQt"
FAKE,"[NEWS] Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended https://t.co/OWJzKlGci3"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended. https://t.co/plsLSzGGvi"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/2niiIMWWTG"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended
Posted onApril 11, 20200
https://t.co/4GBysZdbBT"
FAKE,"Top story: Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/RPxxzBJyrS, see more https://t.co/TUSqbizhht"
FAKE,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/dCGLzXb7fA"
FAKE,People of color may be Immune to the Coronavirus because of Melanin – blackmentravels https://t.co/mlrcYNAeV9
FAKE,People of color may be Immune to the Coronavirus because of Melanin – blackmentravels https://t.co/NAuaBUrI6G
FAKE,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/AhNvAirO3c"
FAKE,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/8Oz7VDazAr"
FAKE,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/hdexPUZWiT"
FAKE,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/qTA4FHrzeh"
FAKE,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/UcakUZ4AUY"
