category,text
REAL,What We Can Learn from the Resurgence of COVID-19 in Spain
REAL,Why Approving a COVID-19 Vaccine Too Early Could Cause More Harm Than Good
REAL,"Not Sure You Have COVID-19? Here Are the Symptoms for Coronavirus, Flu, and Allergies"
REAL,Flu Study Highlights Difficulty of Achieving COVID-19 'Herd Immunity'
REAL,Resign or Return? The Dilemma Facing Classroom Teachers in Our COVID-19 Era
REAL,FDA Approves $5 COVID-19 Test That Gives Results in 15 Minutes
REAL,Staying 6 Feet Apart Often Isn’t Enough During COVID-19 Pandemic
REAL,"Despite New Safety Guidelines, Experts Say Movie Theaters Are High-Risk"
REAL,"Yes, You Can Get COVID-19 Again: What to Know"
REAL,"Blood Thinners, Blood Pressure Meds May Improve COVID-19 Survival Rate"
REAL,Fast Isn’t Always Better: What to Know About Rise of Rapid Coronavirus Testing
REAL,"CDC Changes COVID-19 Testing Guidelines, Worrying Experts"
REAL,What to Do When You Clash with Your Kid’s Grandparents About COVID-19
REAL,How to Safely Sanitize Every Type of Face Mask
REAL,Suicidal Ideation Is Increasing During COVID-19: How Best to Cope
REAL,‘Secondary Victims’: Families of People Who Died from COVID-19 Talk About Their Anguish
REAL,COVID-19 Survivors Are Losing Their Hair — Here’s Why
REAL,Why Shrinking Your Social Bubble May Be Necessary Right Now
REAL,What You Need to Know If You Plan to Fly on an Airplane During COVID-19
REAL,Peaches Suspected in Salmonella Outbreak in 9 States: What to Know
REAL,Is It Too Early to Get the Flu Vaccine?
REAL,Here’s Why Seasonal Flu Vaccines Only Last a Few Months
REAL,Woman Who Spoke at DNC Convention Talks to Healthline About Her Father’s COVID-19 Death
REAL,New COVID-19 Saliva Tests Now Available: Are They the Breakthrough We Need?
REAL,COVID-19 Symptoms Usually Show Up in This Order
REAL,How a Housing Crisis Could Make COVID-19 Even Worse
REAL,"Can the New Coronavirus Be Transmitted by Frozen Foods? Unlikely, Experts Say"
REAL,How a Biden-Harris Administration Would Handle the COVID-19 Pandemic Differently
REAL,Psychologist Talks to Healthline About Mental Strain of COVID-19
REAL,"Dr. Anthony Fauci Talks to Healthline About COVID-19 Vaccines, School Safety"
REAL,Cooking at Home More During COVID-19? What to Know About Food Safety
REAL,Can Secondhand Smoke Transmit the Novel Coronavirus?
REAL,NYC COVID-19 Deaths During Peak Rivaled 1918 Flu Fatalities
REAL,COVID-19 Racing Through Nursing Homes: What Families Can Do
REAL,"Neck Gaiters Are Stylish, But How Effective Are They in Stopping COVID-19 Spread?"
REAL,Pregnancy Plans Being Put on Hold During the COVID-19 Pandemic
REAL,Raising a Newborn When Your Office Is an ER
REAL,People Caring for Grandchildren Face High Risks During COVID-19 Pandemic
REAL,A Physician on the Front Lines Talks About Treating Patients and Getting COVID-19
REAL,What’s the Risk of Attending a Public Gathering in Your County? New COVID-19 Tracker Can Help
REAL,How Obesity and Other Conditions Could Hinder the Effectiveness of a COVID-19 Vaccine
REAL,Kids’ Vaccination Rates Have Plummeted — Here’s What That Means for the Fall
REAL,Michelle Obama Talks ‘Low-Grade Depression’ During the Pandemic
REAL,Russia Claims They Have a COVID-19 Vaccine: Why You Should Be Skeptical
REAL,Why the Heart Attack Death Rate Has Doubled During COVID-19
REAL,How Much Will You Pay for a COVID-19 Vaccine? Here’s What We Know
REAL,Animal Laboratories Being Used to Process COVID-19 Tests in an Effort to Speed Up Results
REAL,How Schools Can Easily Become ‘Superspreaders’ of COVID-19
REAL,How Telemedicine Can Help People Access Birth Control During the Pandemic
REAL,Here’s What Happened the Last Time We Had a Vaccine During a Pandemic
REAL,People Without Symptoms Carry Just as Much of the Coronavirus as Symptomatic People
REAL,Here’s What We Know About the Demographic Makeup of the COVID-19 Vaccine Trials
REAL,"For Homemade Face Masks, 3 Layers Are Better Than 1"
REAL,Are Massages and Acupuncture Treatments Safe During COVID-19?
REAL,There’s More Evidence That Black Americans Face High Risks from COVID-19
REAL,Europe Sees Rise in COVID-19 After Reopening
REAL,How People at Higher Risk from COVID-19 Can Enjoy Summer Safely
REAL,How Lockdowns Have Helped Improve Some Mother-Daughter Relationships
REAL,Do You Need to Wear Goggles to Stay Safe from COVID-19?
REAL,What You Can Do If There’s a Shortage of Disinfectants in Your Area
REAL,Restarting Professional Sports Is Putting Players at Risk and Sending the Wrong Message to the Public
REAL,How the Coronavirus Spreads Indoors and What Can Be Done About It
REAL,Why Most People Will Have to Wait Months to Get a COVID-19 Vaccine After It’s Available
REAL,The Simple Science Behind Why Masks Work
REAL,From Toddlers to Teens: How to Talk to Kids About Wearing Masks
REAL,People Who Wear COVID-19 Masks Touch Their Faces Less — That’s a Good Thing
REAL,Why Herman Cain’s Death Hasn’t Changed People’s Perspective on COVID-19
REAL,Dr. Anthony Fauci Talks COVID-19 Vaccine and School Openings
REAL,How Pooled Testing Can Help Us Fight Spread of COVID-19
REAL,Rural America Could Be the Region Hardest Hit by the COVID-19 Outbreak
REAL,COVID-19 Is Likely to Be the Third-Leading Cause of Death in the U.S. This Year
REAL,The Safe and Unsafe Ways People Are Worshipping During COVID-19
REAL,"Yes, the Government and Your Employer Can Make You Get a COVID-19 Vaccine"
REAL,COVID-19 Damaged Heart of Elite Athlete: What Does That Mean for the Rest of Us?
REAL,How Screen Time May Be Contributing to Dry Eye During the Pandemic
REAL,Researchers ID 6 COVID-19 Symptom Sets: How That Will Help High-Risk Patients
REAL,How and When Children Should Return to Sports During COVID-19
REAL,Many Early Vaccine Trials Show Promise. Most Still Fail. Here’s Why
REAL,COVID-19 Survivors Share How to Recover During Pandemic
REAL,Medical Experts Say We Need a Second Shutdown to Control COVID-19
REAL,New Research Finds Kids Just as Likely as Adults to Spread COVID-19
REAL,"Estrogen and COVID-19: How Pregnancy, Birth Control Can Increase Risk of Blood Clots"
REAL,Many COVID-19 Patients Will Need Rehab Long After Infection Is Over
REAL,Experts Say It’s Safe to Breastfeed During the COVID-19 Pandemic
REAL,You Probably Can’t Get COVID-19 Twice: The Latest on Antibodies
REAL,FDA Expands List of Hand Sanitizers That Contain Toxic Methanol
REAL,Walgreens to Open Doctor Offices: What This Means for Your Healthcare Services
REAL,COVID-19: How California Went from Model State to Hot Spot
REAL,"Lip Reading, Facial Expressions: How Masks Make Life Harder for People with Hearing Difficulties"
REAL,What Parents Should Know About the CDC’s Guidelines for Reopening Schools
REAL,Extensive Study Determines Vaccines Are ‘Remarkably Safe’
REAL,There’s a Difference Between Quarantine and Isolation: What You Should Know
REAL,I Tested Negative for COVID-19 — It Took 13 Days to Get the Results
REAL,‘Doomscrolling’ During COVID-19: What It Does to You and How You Can Avoid It
REAL,How COVID-19 Outbreaks in Prisons Are Making the Pandemic Worse for Everyone
REAL,Can You Have a Second Wave of COVID-19 If the First Never Ended?
REAL,How Businesses Requiring Masks Protects Workers and You from COVID-19
REAL,Could Florida’s COVID-19 Surge Get Even Worse? Here’s What Experts Think
REAL,Back on the Front Line: Some Doctors Face COVID-19 a Second Time
REAL,Why Reopening Schools Isn’t as Easy as Reopening Walmart
REAL,Want to Sign Up for a COVID-19 Vaccine Trial? Here’s What to Know
REAL,You Now Have to Wait More Than a Week for COVID-19 Test Results — And Why It May Get Worse
REAL,"If 50% of People Take These 3 Simple Steps, We Might Be Able to Stop the Spread of COVID-19"
REAL,Why the Pandemic Is Probably Messing with Your Sense of Time
REAL,3 More COVID-19 Vaccines Move Toward Final Stage of Testing
REAL,How New York City Got Control of COVID-19 — and Where It Goes from Here
REAL,When Is It Safe to Be Around Someone Who’s Recovered from COVID-19?
REAL,"Antiseptic From the 1950s May Be Effective in Fighting Coronavirus, Flu, HPV"
REAL,Rare Heart Condition Linked to Stress May Be Increasing During COVID-19 Pandemic
REAL,COVID-19 Antibodies May Fade Quickly. What this Means for Herd Immunity
REAL,COVID-19 Mortality Is Going Down in ICUs — What This Means for the Pandemic
REAL,What Life Is Like for a Florida ER Physician During the COVID-19 Pandemic
REAL,"Cases, Deaths, Hospitalizations: How to Make Sense of COVID-19 Stats"
REAL,Fauci Warns About ‘Post-Viral’ Syndrome After COVID-19
REAL,"Yes, We’re Still in the First Wave of COVID-19. Here Are the Facts"
REAL,COVID-19 Outcomes No Worse for Those Living with HIV
REAL,Why We May Run into PPE Shortages Again
REAL,What It’s Like to Have a ‘Mild’ Case of COVID-19
REAL,Smoking Puts 1 in 3 Young Adults at High Risk for Severe COVID-19
REAL,It’s Too Early to Know If Moderna’s COVID-19 Vaccine Will Work After Initial Tests
REAL,Hospitals Put to Test as COVID-19 Strains ICUs
REAL,Here’s What It Will Take to Normalize Wearing Masks in America
REAL,"We’re Nowhere Near Herd Immunity with COVID-19, Experts Say"
REAL,CDC Expands List of Those with Higher COVID-19 Risks: What to Know
REAL,Natural Disasters Won’t Stop Just Because There’s a Pandemic: How We Can Be Prepared
REAL,How a Mask Fits Can Be as Important as What It’s Made Of
REAL,What Experts Think About Reopening Schools
REAL,What to Expect If a COVID-19 Contact Tracer Calls You
REAL,Here’s What to Know About the COVID-19 Mortality Rate as Cases Climb
REAL,This New COVID-19 Tracker Can Help You Better Understand Your Local Risk
REAL,What a Lack of COVID-19 Testing Means for Children and Reopening Schools
REAL,"COVID-19 Linked to Major Neurological Conditions Including Stroke, Brain Swelling"
REAL,Lysol Disinfectant Approved for Use Against COVID-19: Here’s What Else Can Work
REAL,Even Asymptomatic People Can Spread COVID-19 Within a Room
REAL,U.S. May Be Headed for a ‘Full-Blown’ COVID-19 Outbreak: How to Prepare
REAL,Why the Black Lives Matter Protests Didn’t Contribute to the COVID-19 Surge
REAL,How Accurate Are COVID-19 Diagnostic and Antibody Tests?
REAL,"She Had a Stroke, Then the Pandemic Hit. Here’s How She Fought to Recover"
REAL,How to Create Your ‘Social Bubble’ and Interact Safely This Summer
REAL,Why You Might Want to Think Twice Before Making Your Own Hand Sanitizer
REAL,How to Tell If the Hand Sanitizer You’re Buying Is Safe and Actually Works
REAL,On the COVID-19 Front Line: What It’s Like in Hospitals in Texas and Arizona Now
REAL,Why Hanging Out at a Bar During the Pandemic Is a Terrible Idea
