category,text
FAKE,A “face mask exempt card” allows you to cite the ADA and not wear a mask. https://t.co/oxzOaze3rF
FAKE,"People actually #believe that there is such a #thing as ""Freedom to Breathe Agency""?? #REALLY??
🙄🙄🙄😖😖😖

This is, of course
#FALSE!
👇👇👇

A “face mask exempt card” allows you to cite the ADA and not wear a mask.

https://t.co/equnx7dx5G"
FAKE,"@MiddleMolly @juantinabroad @newsjunky2 @mgs_life @like_argue @ArthurSchwartz @JoeBiden that's not fair, he only said name ONE.

let's start with something from this year so he doesn't have to go back too far.
how about “Joe Biden and the Democrats want"
FAKE,"“Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church,” President Trump said.

Those claims do not align with statements from Biden or other leading Democrats. https://t.co/ewDegfq8RV"
FAKE,"“Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.”
- @RealDonaldTrump
https://t.co/upoiFgX60r"
FAKE,"⁦@realDonaldTrump⁩ You lie! Everything you say is a lie!!
Trump: “Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.” Rated False by PolitiFact – Via FactStream https://t.co/uOvDtAMcq1"
FAKE,"“Joe Biden and the democrats want to prosecute Americans for going to Church, but not for burning a Church.”—Prez Trump in Tulsa"
FAKE,"“Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.”
—@realDonaldTrump"
FAKE,"Pres. Trump: “Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.” https://t.co/gj10BoPOfo"
FAKE,"@DNCWarRoom TRUMP: “Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.”"
FAKE,"""Joe Biden and the Democrats want to prosecute Americans for going to church but not for burning a church.""

Live: Trump holds 'Make America Great Again!' rally in Tulsa https://t.co/DFuX73OQrZ via @YouTube"
FAKE,"President Trump's most withering attack on Biden tonight:

""Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church. They want to punish your thought, but not violent crime."" https://t.co/sz2Vm2fspV"
FAKE,"@POTUS @realDonaldTrump: ""Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.""

#TrumpRally2020 #TulsaRally"
FAKE,"TRUMP: “Joe Biden and the Democrats want to prosecute Americans for going to church, but not for burning a church.”

“They believe you can riot, vandalize, and destroy, but you cannot attend a peaceful, pro-America rally.” https://t.co/BKyr9E4WPw"
