,news_id,tweet_id,reply_id,tweet_content
0,1571,1276612275986546688,1276613732093714433,"@HubbardJeff @Healthline So much conspiracy BS surrounding masks - if they'd been smart from the beginning they should have said that NOT wearing a mask will make you impotent, then maybe everyone would wear one. 🙄"
1,1571,1276612275986546688,1276619114061139968,@JoyceHermit @Healthline I can only conclude people are idiots
2,1571,1276612275986546688,1276616585797464066,@HubbardJeff @Healthline Dear god.
3,1571,1276612275986546688,1276645929253105665,"@HubbardJeff @Healthline This should be obvious, but the anti-mask morons latch onto any conspiracy theory they can to validate their political beliefs."
4,1571,1276144323067736064,1276156035531788291,"@TDEMomof3 Someone posted this in a FB group yesterday when the news came that NV gov ordered Face Masks worn in public, starting Friday. 

This isn't even a thing. The FTBA isn't a Gov. Entity. &amp; people are so dumb thinking this'll work. https://t.co/dkrFGsuGRd"
6,1571,1276144323067736064,1276150809655377928,"@TDEMomof3 I was worried about my ortho Dr. , my nuero surgeon, my heart surgeon, etc.  they ware masks daily !"
8,1571,1276158614315634690,1275919492334456832,"Do you feel safe in @realDonaldTrump’s America? Praying for the people of Texas and Arizona. Viruses don’t see red and blue. You can’t kill germs with propaganda. To those still in the Trump cult, there is a way out. Listen to health officials. Protect your family and community."
9,1571,1276158614315634690,1275921225068490752,"@Scaramucci @realDonaldTrump READ the BOX...This is one reason we are unhealthy!  We need to breathe Oxygen, not our own CO2 and Germs. https://t.co/SYzfrJOfc7"
10,1571,1276158614315634690,1276002062723997696,@Heartwords3 @Scaramucci @realDonaldTrump Listen up. As has been stated SO MANY TIMES ALREADY... The mask lowers the risk that you will transmit the virus to others by trapping the aerosol that you EXHALE. Your mask cannot POSSIBLY hold enough CO2 that you’ll only breathe CO2 when you inhale. It’s not a storage tank.
11,1571,1276158614315634690,1276198647932182528,"@TheQueenLourdes @Heartwords3 @Scaramucci @realDonaldTrump CO2 is not poisonous; as a gas, CO2 itself will not hurt you. This is an important fact to remember, as carbon dioxide is a vital part of the environment. The human breathing mechanism actual revolves around CO2, not oxygen."
12,1572,1269181439859458048,1269186816487370752,"@DrJackyDavis They've worn them in Japan for decades if they have a cold. When I was there, I kept my distance for sure."
13,1572,1269181439859458048,1269311252024655872,@SteelFolk Andy – hard to understand why it’s been such a struggle to get the idea launched here
14,1572,1276090365209128962,1276091772662415364,@NeilFlochMD Not a bad reason to wear a mask 😷 at all.
17,1573,1277909743621885953,1277903397870604289,@realDeeirene @gigiwestover @SidneyPowell1 @DorotaG @AlexBerenson Reading now that there are cases of Type 1 Diabetes resulting from covid?? (Usually this is caused from from battling another virus). Would not wish T1D on anyone.  These  things change the notion of “recovered.”
19,1577,1275855646001373185,1275513099852881920,@JoeBanner13 It's a pretty common-sense idea.
20,1577,1275855646001373185,1275516845169221633,"@AlbertBreer @JoeBanner13 I've been saying the same thing and the over active drama people act like I'm out here trying to kill someone,The smartest most common sense thing  to do is get it now and out of the way so when the season starts you don't have to worry about it."
22,1577,1275855646001373185,1275573268955750409,@TrumpUgrads @AlbertBreer @JoeBanner13 Time will tell Mr Jeff but the outlook for anyone young and healthy that gets the virus right now is very VERY good!In fact look at the stats for young healthy https://t.co/ouJdDwsozl will find there much more likely to die from other natural causes.
23,1577,1275855646001373185,1275858492650401794,@mikecarb @TrumpUgrads @AlbertBreer @JoeBanner13 My goodness let's block all young people from driving.We will save lives!
24,1577,1275855646001373185,1275887854388948992,"@sbias77 @TrumpUgrads @AlbertBreer @JoeBanner13 U originally said ""get it now and out of the way""  These are potential long-term complications associated with contracting COVID19, for ANYONE, including young people. and to minimize the risk of infection ""to the greatest extent possible"" what was that about words on the screen?"
25,1577,1275855646001373185,1275857785075490816,@mikecarb @TrumpUgrads @AlbertBreer @JoeBanner13 That's not what I'm https://t.co/48tcEGkvrf not saying it dont effect young people.Listen to the words that you see on your screen.Its extremely rare for a young healthy individual to have a case of covid you are describing.Very rare!There is a better chance of something else.
26,1577,1275428517447114752,1275428727040684033,@Cirrocumulus1 Masks essential socially.
27,1577,1275428517447114752,1275431119312359425,@SobAlert no need when out 4 walk?
28,1589,1269217058358808576,1269220544374808576,"@KelvinBSP @Tim_Hayward_ That coronaviruses mutate is well established. That's why we get cold and flu seasons. There isn't much scientific support that a vaccine will 'kill off COVID-19' and protect people. In fact, evidence points to the opposite.

Various articles here:
https://t.co/UgbWpgJiXo"
29,1589,1269217058358808576,1269221727890018306,@evidencenotfear @Tim_Hayward_ It seems the Covid-19 conspiracists are hoping that we will never find a vaccine.
30,1589,1258392443256479745,1258389885234356231,"Why would antibodies not protect someone from reinfection?
Is it because the virus mutated?
@cspanwj"
